sliding_window,lag_price_window,percentile,data_points,mse,mae,r2,worst_avg_error
7,1,100,2252,1000.9056808918186,19.219125313738992,0.7063104601242927,20.21610321428087
7,1,99,2229,775.9272396924193,17.903819866456406,0.7660449187194366,19.417005871967987
7,1,95,2139,465.9070731767642,14.90741846335928,0.8452079129700811,20.21610321428087
7,1,85,1914,207.52776485352717,10.684039355405364,0.9215484121401165,22.4407913260787
7,1,75,1689,107.59960534822451,8.012305045388306,0.951419010936922,25.058791656800103
7,2,100,2252,3946.2786027424013,27.67149822293952,-0.15793203014703638,29.113920836608685
7,2,99,2229,1480.1798455551323,23.737470357787938,0.5579454654745419,27.956533926635636
7,2,95,2139,809.3792355840512,19.317934967290114,0.7363754527177226,29.113920836608685
7,2,85,1914,346.2148330265304,13.625137777520557,0.8725823558386405,32.35033839804828
7,2,75,1689,176.4578786122366,10.114711267935482,0.9309071758071645,36.19703076330266
7,4,100,2252,7972.820431358305,33.70298007331666,-1.3394152003522706,35.46302166410183
7,4,99,2229,2274.6279269986817,27.60350494077094,0.3130716826919281,34.049929958025515
7,4,95,2139,1115.9345268536772,21.7309057591762,0.6396634941102372,35.46302166410183
7,4,85,1914,435.8290731710566,14.690375533831505,0.849779574319888,39.46081811167679
7,4,75,1689,195.8871714707696,10.41242473609124,0.920596041039968,44.30791276269213
7,6,100,2252,796.1315123001777,16.330803730017763,0.7663960730848706,17.177934579439253
7,6,99,2229,592.9755878869448,15.062359802602064,0.8190591011016984,16.499300134589504
7,6,95,2139,348.7560739130435,12.3622487143525,0.8888370965369763,17.177934579439253
7,6,85,1914,138.96889273772206,8.48014106583072,0.9511315476120377,19.093994778067884
7,6,75,1689,65.14455660153936,6.139911190053286,0.973245006086744,21.37719952634695
10,1,100,2249,780.5547708467062,17.173315349769535,0.7712505633379255,18.0672168218649
10,1,99,2226,614.0624433686507,16.033607663526045,0.8108988139127566,17.35016213412125
10,1,95,2136,380.69157666891164,13.44303977928074,0.8728271259606216,18.0672168218649
