sliding_window,lag_price_window,percentile,data_points,mse,mae,r2,avg_error,worst_avg_error
30,6,95,2117,3854.0323454109016,41.702145856078815,-0.2727577439333897,,166.35495406645555
30,6,85,1894,1557.1929583327,29.020327051373695,0.3499450649646022,,185.57644959596203
30,6,75,1672,817.9809549796478,21.737120618707056,0.6174228123455295,,209.31469533420002
90,1,100,2169,53080.53376877395,34.93783238392003,-14.017277355292256,34.93783238392003,
90,1,99,2147,1334.7930683292027,22.91560170044307,0.6162118547817463,,35.29543867605217
90,1,95,2060,736.6289439259798,18.779430059281477,0.7646857258928322,,36.76787882575978
90,1,85,1843,331.66959827147684,13.495759747642799,0.8775372723969935,,40.884577469148915
90,1,75,1627,167.97728010114864,10.072449080666596,0.928838283868912,,45.819622202954356
90,2,100,2169,64902.56784787879,37.20759552334577,-17.36190771343824,37.20759552334577,
90,2,99,2147,1391.4297687648575,23.36679690577137,0.601811852228846,,37.588369095843824
90,2,95,2060,765.8780506113329,19.14035785423445,0.7579325371463398,,39.15573903468958
90,2,85,1843,346.22202375699004,13.772905744885138,0.8736551433528308,,43.56344950429615
90,2,75,1627,175.18284512178678,10.272947865690911,0.9276140696269127,,48.85964221287237
90,4,100,2169,77183.66247423274,39.30756407722804,-20.836413170258677,39.30756407722804,
90,4,99,2147,1522.8376948500827,24.379270901350157,0.5627610366366519,,39.6915336945121
90,4,95,2060,838.8470986314261,19.965702544097855,0.7332231373193792,,41.365599354945644
90,4,85,1843,372.79908597895945,14.286869148585644,0.8633145148894752,,46.01283078640686
90,4,75,1627,188.01520022648455,10.640829433845985,0.9209872007923268,,51.586414398304726
90,6,100,2169,61585.535798740064,39.65214894437906,-16.423469707232407,39.65214894437906,
90,6,99,2147,1631.9689469967836,25.300435355534404,0.5280523384445897,,40.05818158088269
90,6,95,2060,892.3008187193997,20.67684339876992,0.7177649068786276,,41.728786529009064
90,6,85,1843,403.8518114638816,14.894402549213272,0.8482703680721452,,46.426367950370285
90,6,75,1627,207.524421760661,11.14908328641266,0.9097708767811232,,52.04551099431175
