Datetime,MarginalES,SMA_3,SMA_5,SMA_7,SMA_14,SMA_30,SMA_60,SMA_90,SMA_180,SMA_360,EMA_3,EMA_5,EMA_7,EMA_14,EMA_30,ROC_3,ROC_5,ROC_7,ROC_12,ROC_14,ROC_30,RSI_5,RSI_7,RSI_14
2020-07-03 14:00:00,37.87,39.096666666666664,39.263999999999996,36.332857142857144,35.010714285714286,31.41133333333333,28.027666666666665,24.264555555555553,29.232499999999998,36.963055555555556,38.524424255578154,38.070738996420346,37.49567865595653,35.69562372595392,32.733727287664806,-3.368206175044655,31.12880886426592,4.9030470914127315,47.929687499999986,5.782122905027935,8.510028653295127,54.40403595334646,55.474832782226734,55.141529047808866
2020-07-04 14:00:00,30.5,36.126666666666665,37.396,36.528571428571425,34.919285714285714,31.491333333333333,28.214333333333332,24.542333333333332,29.17688888888889,36.890638888888894,34.51221212778908,35.5471593309469,35.7467589919674,35.00287389582674,32.58961584975095,-22.60847500634356,-23.443775100401613,4.703055269481638,4.847026469577174,-4.02769037130271,8.540925266903908,32.059554196437375,39.19435856266791,47.42771106319698
2020-07-05 14:00:00,26.8,31.72333333333333,34.918,36.23142857142857,35.005,31.40666666666667,28.29416666666667,24.52122222222222,29.046277777777778,36.80652777777778,30.65610606389454,32.6314395539646,33.51006924397555,33.90915737638317,32.21609224654121,-33.01674581354661,-31.61520796121459,-7.202216066481988,-25.20234440413061,4.687499999999997,-8.657123381049757,25.48979129760282,33.44540800890138,44.09285051573244
2020-07-06 14:00:00,32.5,29.933333333333326,33.536,35.182857142857145,35.24857142857143,31.59,28.477333333333334,24.656777777777773,28.953666666666667,36.72986111111111,31.57805303194727,32.58762636930973,33.25755193298166,33.72126972619875,32.23440887579662,-14.180089780829148,-17.533620908398877,-18.423694779116474,-13.19444444444444,11.722241320041253,20.37037037037037,46.572980599417264,47.33038278819285,49.93337253231857
2020-07-07 14:00:00,39.08,32.79333333333333,33.35,35.167142857142856,35.480714285714285,32.309999999999995,28.781333333333336,24.83544444444444,28.921333333333333,36.68561111111111,35.32902651597364,34.751750912873156,34.71316394973624,34.435767096038916,32.67605991606781,28.131147540983605,-2.3244188952761804,-0.2806838479203864,-2.2511255627813873,9.07061121964834,123.56979405034323,62.06281264233838,58.88312322382508,55.68828351748877
2020-07-08 14:00:00,40.6,37.39333333333333,33.896,35.33714285714286,35.70642857142857,32.704,29.175833333333333,25.011000000000003,28.935722222222225,36.65866666666667,37.96451325798682,36.70116727524877,36.18487296230218,35.25766481656706,33.187281856966656,51.49253731343284,7.208872458410362,3.0195381882770995,12.465373961218836,8.440170940170951,41.07018763029882,64.9934543598871,61.17803927559224,56.920158807748635
2020-07-09 14:00:00,42.53,40.736666666666665,36.302,35.69714285714286,35.88857142857143,33.08533333333333,29.687166666666663,25.21688888888889,28.955499999999997,36.61761111111111,40.24725662899341,38.64411151683252,37.77115472172663,36.22730950769145,33.790037866194616,30.861538461538462,39.442622950819676,6.298425393651595,46.000686577411614,6.3781890945472846,36.796397555484084,68.81678785427786,64.14276166922741,58.49783309527467
2020-07-10 14:00:00,40.5,41.21,39.042,36.072857142857146,36.20285714285714,33.297333333333334,30.087166666666665,25.378,28.967000000000002,36.57108333333333,40.373628314496706,39.26274101122168,38.45336604129497,36.797001573332594,34.22293864902077,3.6335721596724713,51.11940298507462,6.944811196197525,40.23545706371191,12.188365650969525,18.629173989455182,60.17579750177497,58.64688433104876,56.167841261767165
2020-07-11 14:00:00,26.3,36.443333333333335,37.802,35.472857142857144,36.00071428571429,33.477333333333334,30.104666666666667,25.483555555555554,28.851944444444445,36.484944444444444,33.336814157248355,34.941827340814456,35.41502453097123,35.39740136355491,33.71178131682588,-35.221674876847295,-19.076923076923073,-13.770491803278686,-33.98594377510041,-9.715070374184684,25.837320574162693,28.683526255538837,34.51352463554865,43.20441644617369
2020-07-12 14:00:00,27.9,31.566666666666663,35.566,35.63,35.93071428571428,33.774,30.120166666666666,25.501444444444445,28.77777777777778,36.40025,30.618407078624177,32.594551560542975,33.53626839822842,34.39774784841426,33.33682768348228,-34.39924758993652,-28.607983623336747,4.104477611940291,-28.808369482010715,-3.393351800554018,46.84210526315788,33.579361833638956,37.874175780640705,44.75169082305755
2020-07-13 14:00:00,35.0,29.73333333333333,34.446000000000005,35.98714285714286,35.585,34.324,30.2885,25.60977777777778,28.733277777777776,36.339,32.80920353931209,33.39636770702865,33.902201298671315,34.47804813529236,33.44412912325761,-13.580246913580247,-13.793103448275865,7.6923076923076925,-11.190053285968022,-12.14859437751005,89.1891891891892,51.89663431500052,50.915017230560004,51.115886972950285
2020-07-14 14:00:00,37.5,33.46666666666667,33.44,35.76142857142857,35.464285714285715,34.792,30.529666666666667,25.852333333333334,28.718944444444443,36.285000000000004,35.15460176965604,34.764245138019106,34.801650974003486,34.88097505058671,33.7057982120797,42.585551330798474,-11.826945685398545,-4.042988741044009,-6.273431642089474,-4.3123245725950445,59.846547314578004,57.103445674569834,54.81164096542056,53.1618177728622
2020-07-15 14:00:00,34.99,35.83,32.338,34.96,35.14857142857143,34.85333333333333,30.889833333333332,26.107777777777777,28.691222222222223,36.23133333333333,35.072300884828024,34.8394967586794,34.84873823050262,34.89551171050849,33.788649940332625,25.412186379928333,-13.604938271604933,-13.817733990147781,-7.60496435172959,-11.21542755645774,5.55052790346909,50.27402642257689,50.14850261162798,50.86026865934053
2020-07-16 14:00:00,39.93,37.47333333333333,35.064,34.58857142857143,35.142857142857146,35.05766666666667,31.305333333333333,26.378,28.70272222222222,36.18377777777778,37.501150442414016,36.53633117245293,36.119053672876966,35.56677681577402,34.184866073214394,14.085714285714285,51.82509505703422,-6.1133317658123705,30.918032786885245,-0.19995001249687155,18.136094674556222,61.57867443465771,58.295356491921446,54.99039674164137
2020-07-17 14:00:00,36.05,36.99,36.693999999999996,33.95285714285714,35.01285714285714,35.059,31.47233333333333,26.51788888888889,28.73966666666667,36.13002777777778,36.775575221207006,36.37422078163529,36.10179025465773,35.631206573670816,34.305197294297336,-3.8666666666666747,29.211469534050178,-10.98765432098766,34.51492537313431,-4.805914972273569,0.11108025548458525,50.34239751555468,50.70269056520303,51.3405022113972
2020-07-18 14:00:00,33.0,36.32666666666666,36.294,34.910000000000004,35.191428571428574,34.971,31.572499999999998,26.717777777777776,28.700888888888887,36.062694444444446,34.8877876106035,35.24948052109019,35.3263426909933,35.28037903051471,34.22099101724589,-5.6873392397828,-5.714285714285714,25.47528517110266,1.5384615384615385,8.19672131147541,-7.407407407407408,42.68852276480043,45.292622822718705,48.60922991305142
2020-07-19 14:00:00,27.2,32.08333333333333,34.233999999999995,34.809999999999995,35.22,34.684333333333335,31.560166666666664,26.869888888888887,28.616166666666665,35.97969444444445,31.04389380530175,32.566320347393464,33.29475701824497,34.20299515977941,33.76802385484294,-31.88079138492362,-27.46666666666667,-2.5089605734767,-30.39918116683726,1.4925373134328304,-24.02234636871508,31.356389480261583,36.622994280180265,43.833657499404
2020-07-20 14:00:00,38.55,32.916666666666664,34.946000000000005,35.317142857142855,35.652142857142856,34.91,31.72416666666667,27.18722222222222,28.552722222222222,35.928472222222226,34.79694690265087,34.56088023159565,34.60856776368372,34.78259580514216,34.07653844485307,6.93481276005548,10.17433552443554,10.142857142857135,-5.049261083743853,18.615384615384606,21.302706104468207,58.38140089985038,55.89650049155526,53.467795691827575
2020-07-21 14:00:00,38.47,34.739999999999995,34.653999999999996,35.455714285714286,35.60857142857143,35.339000000000006,31.862166666666667,27.521333333333327,28.46822222222222,35.897888888888886,36.633473451325436,35.8639201543971,35.57392582276279,35.27424969778987,34.3599875774432,16.57575757575757,-3.6563986977210137,2.5866666666666633,-9.546202680460857,-1.560900716479016,50.273437499999986,58.17959187841223,55.75706612118184,53.39827041499714
2020-07-22 14:00:00,41.2,39.40666666666666,35.684,36.34285714285714,35.651428571428575,35.74266666666667,32.222166666666666,27.794333333333334,28.40105555555556,35.87880555555555,38.916736725662716,37.64261343626474,36.980444367072096,36.06434973808456,34.80127870147912,51.47058823529414,14.285714285714302,17.74792797942269,1.7283950617284023,1.4778325123152742,41.62942591956,63.55365452910056,59.75400359804574,55.52365198406095
2020-07-23 14:00:00,43.4,41.02333333333333,37.764,36.83857142857143,35.71357142857143,35.995,32.762166666666666,28.109888888888893,28.365111111111112,35.846583333333335,41.158368362831354,39.561742290843156,38.58533327530407,37.04243643967329,35.356034914286916,12.581063553826205,31.515151515151512,8.69020786376158,65.0190114068441,2.045614860098748,21.127546748534748,67.73074127397393,62.90471732061865,57.21701726487565
2020-07-24 14:00:00,41.59,42.06333333333333,40.642,37.63,35.79142857142857,36.133333333333326,33.00933333333333,28.334999999999997,28.383777777777777,35.80877777777778,41.37418418141568,40.23782819389544,39.33649995647806,37.64877824771685,35.75822621013937,8.110215752534454,52.90441176470589,15.36754507628296,49.06810035842296,2.6913580246913664,11.084401709401725,60.58936649370683,58.50822925532475,55.34986941294063
