Datetime,MarginalES,SMA_3,SMA_5,SMA_7,SMA_10,SMA_30,SMA_50,SMA_60,SMA_100,SMA_200,EMA_12,EMA_26,ROC_12,ROC_50,RSI_5,RSI_7,RSI_14
2019-09-18 14:00:00,50.8,50.41,46.18,44.77428571428572,42.573,43.830000000000005,45.721599999999995,47.19833333333334,49.3395,49.8786,44.270000282067656,44.05343735534312,22.705314009661834,-7.971014492753634,73.417571730091,66.64914527872853,57.53045962276489
2019-09-19 14:00:00,51.0,50.63666666666666,48.4,46.129999999999995,43.15,43.98833333333334,45.69780000000001,47.143166666666666,49.392300000000006,49.9586,45.305384854057245,44.56799755124363,45.50641940085593,-2.280130293159605,73.84084561692755,66.97858592853845,57.72079961782545
2019-09-20 14:00:00,48.69,50.16333333333333,50.184,47.22714285714285,44.731,44.035666666666664,45.648,47.00383333333333,49.367,49.9546,45.82609487650998,44.873331065966326,32.88755458515283,-4.8651817116061,60.038609615299684,59.11058745981934,54.6729624084744
2019-09-21 14:00:00,39.0,46.23,47.92,47.098571428571425,45.211,43.801,45.394000000000005,46.7305,49.2659,49.87775,44.77592643396998,44.438269505524374,-13.774043776254693,-24.56479690522244,30.32085331052842,37.53308604992551,44.14317750494069
2019-09-22 14:00:00,35.55,41.07999999999999,45.007999999999996,46.49571428571428,44.614999999999995,43.53266666666666,45.087199999999996,46.369,49.1229,49.880500000000005,43.35655313643613,43.77987917178183,8.120437956204363,-30.14344664963648,24.847294080967828,32.591342184273614,41.10754993975117
2019-09-23 14:00:00,45.77,40.10666666666666,44.001999999999995,45.84571428571428,45.091,43.615,45.0132,46.1805,49.08610000000001,49.84674999999999,43.7278526539075,43.92729552942762,33.83040935672514,-7.479280371942583,54.95662646581628,53.672131467121886,51.70304255440863
2019-09-24 14:00:00,42.23,41.18333333333333,42.248000000000005,44.720000000000006,45.324,43.681999999999995,44.802,45.93449999999999,49.0224,49.77335,43.49741378407557,43.801569934655205,1.734521801975425,-20.003788596325066,46.832666592141834,47.6502090816742,48.45138517946514
2019-09-25 14:00:00,46.83,44.94333333333333,41.876,44.152857142857144,46.03,43.79466666666667,44.69799999999999,45.890333333333324,48.9812,49.737350000000006,44.01011935575625,44.02589808764371,14.191660570592541,-9.994234095714017,57.12696045042463,55.26016361316063,52.62115780575436
2019-09-26 14:00:00,48.51,45.85666666666666,43.778,43.79714285714285,45.849000000000004,43.73833333333334,44.611999999999995,45.897666666666666,49.0105,49.73195,44.70240868563991,44.35805378485529,21.578947368421055,-8.142397273243713,60.6088265374386,57.869680449955744,54.08203640503939
2019-09-27 14:00:00,48.94,48.09333333333333,46.455999999999996,43.832857142857144,45.732,43.653333333333336,44.5814,45.79666666666667,48.9899,49.6991,45.35434581092608,44.69745720819934,23.057581091274816,-3.0315038636813973,61.60642445895671,58.59089996103789,54.4690093833867
