Datetime,MarginalES,SMA_3,SMA_5,SMA_7,SMA_14,SMA_30,SMA_60,SMA_90,EMA_3,EMA_5,EMA_7,EMA_14,EMA_30,ROC_3,ROC_5,ROC_7,ROC_12,ROC_14,ROC_30,RSI_5,RSI_7,RSI_14
2024-11-24 14:00:00,3.32,45.76333333333329,44.138,63.78857142857142,69.705,69.65266666666668,50.29466666666667,49.39044444444445,30.019857451246388,43.837651350077586,52.299172274581565,64.12304830264883,64.77148040445213,-90.0,-96.94009216589863,-96.21824809203783,0.0,-93.2258722709651,-93.85185185185185,32.162526623606055,35.85919978201878,42.22313844636844
2024-11-25 14:00:00,71.98,37.41666666666662,48.49400000000001,57.31,73.76071428571429,71.21533333333333,51.49433333333334,49.32911111111111,50.99992872562319,53.21843423338506,57.21937920593618,65.17064186229565,65.23654618481007,-25.80911152339723,43.386454183266935,-38.65166624051819,-13.485576923076922,373.5526315789474,186.77290836653387,53.2401000818727,51.53793000720184,50.70243258962943
2024-11-26 14:00:00,138.7,71.33333333333329,69.59400000000001,61.62428571428571,83.43071428571429,74.50566666666667,53.8085,49.982,94.84996436281159,81.71228948892337,77.58953440445214,74.97455628065623,69.9761238503062,275.3721244925575,317.7710843373493,27.83410138248847,14.855912553825757,4077.710843373494,246.83670917729427,66.05229674246567,62.05377392897525,57.26568913863388
2024-11-27 14:00:00,105.57,105.41666666666663,71.304,69.53428571428572,85.02857142857144,76.29233333333333,55.568000000000005,49.92044444444445,100.20998218140579,89.66485965928226,84.5846508033391,79.05394877656873,72.27250295673805,3079.8192771084337,8.812615955473095,110.29880478087645,-11.686464781663052,26.887019230769216,103.13642486049643,56.45162005905251,55.12433995031513,53.45967590322435
2024-11-28 14:00:00,103.19,115.81999999999994,84.55199999999999,79.53285714285714,83.77357142857143,77.36533333333334,57.29616666666667,50.041555555555554,101.6999910907029,94.17323977285484,89.23598810250432,82.2720889396929,74.2671801853356,43.359266462906355,179.26928281461431,210.81325301204816,3.666867590918215,-14.54951970851276,45.33802816901408,55.72430246046044,54.61321204398206,53.1862025658528
2024-11-29 14:00:00,108.2,105.6533333333333,105.52799999999999,81.13,82.96357142857143,78.52133333333333,58.6795,50.26377777777778,104.94999554535144,98.84882651523657,93.97699107687825,85.72914374773386,76.45639436692686,-21.989906272530632,3159.0361445783137,11.52339723768296,23.248661578767507,-9.486364396854611,47.170837867247016,57.176095564756466,55.62373115898019,53.7228642539247
2024-11-30 14:00:00,92.0,101.12999999999995,109.532,88.99428571428572,82.425,78.74433333333333,59.28933333333334,50.80822222222223,98.47499777267572,96.56588434349105,93.4827433076587,86.56525791470268,77.45920763357674,-12.85403050108932,27.81328146707418,148.98511502029768,-21.588681496633427,-7.5748442837050485,7.84198804360567,50.48511227318459,51.31377247509896,51.66058253538468
2024-12-01 14:00:00,112.0,104.06666666666662,104.19200000000001,104.52,84.1542857142857,80.80300000000001,59.849666666666664,51.049444444444454,105.23749888633786,101.71058956232737,98.11205748074403,89.95655685940899,79.68764585076534,8.537648996995834,-19.250180245133375,3273.4939759036147,3.225806451612903,27.57717279872422,122.92993630573248,58.05930080149903,56.201773472094196,54.00789952230679
2024-12-02 14:00:00,130.0,111.3333333333333,109.07800000000002,112.80857142857143,85.0592857142857,82.80833333333334,61.4885,51.570777777777785,117.61874944316892,111.14039304155159,106.08404311055801,95.29568261148779,82.93360418297402,20.147874306839185,23.141043857156397,80.60572381217004,158.9641434262948,10.798602233017986,86.13974799541809,64.21713443678358,60.378581199219916,56.0752168652613
2024-12-03 14:00:00,130.46,124.15333333333331,114.53200000000001,111.63142857142859,86.62785714285714,86.33133333333333,62.6745,52.1758888888889,124.03937472158447,117.58026202770107,112.17803233291852,99.98425826328942,85.99982326794344,41.80434782608696,26.42697935846498,-5.940879596250888,292.9518072289157,20.239631336405537,426.68550666128385,64.38417832598002,60.49091670048865,56.12948771471951
2024-12-04 14:00:00,108.51,122.98999999999997,114.59400000000001,112.05142857142857,90.79285714285713,86.945,64.48283333333333,52.43922222222222,116.27468736079223,114.55684135180073,111.26102424968889,101.12102382818416,87.45209273452774,-3.116071428571424,0.2865064695009263,2.7848820687695484,11.842918985776137,116.15537848605577,20.432852386237528,50.361250788450164,52.244733071091595,52.778481302579614
2024-12-05 14:00:00,107.56,115.50999999999998,117.70600000000002,112.67571428571429,96.10428571428572,87.222,66.27566666666667,53.120777777777775,111.91734368039612,112.22456090120049,110.33576818726667,101.97955398442627,88.74937707423562,-17.261538461538457,16.91304347826087,4.23490648318636,191.09607577807847,223.97590361445782,8.372795969773302,49.77475118376062,51.88757368395594,52.632025014012676
2024-12-06 14:00:00,100.7,105.58999999999996,115.446,111.60428571428572,96.36714285714285,87.57866666666668,67.45233333333333,54.22833333333334,106.30867184019806,108.38304060080033,107.92682614045,101.80894678650277,89.5203850049301,-22.811589759313204,-10.089285714285712,-6.931608133086876,2933.1325301204824,3.793032364460943,11.888888888888891,45.04016810035524,49.06196637682255,51.52025656284911
2024-12-07 14:00:00,3.32,70.52666666666663,90.11000000000001,98.9357142857143,93.965,84.68933333333334,67.4915,54.26522222222222,54.814335920099026,73.36202706720023,81.77511960533751,88.67708721496908,83.95906984332171,-96.9403741590637,-97.44615384615385,-96.3913043478261,-95.3876076687969,-91.0148849797023,-96.31111111111112,16.75708415490662,25.796784226458797,38.944355218244496
2024-12-08 14:00:00,0.44,34.819999999999965,64.10600000000001,82.99857142857142,93.75928571428571,81.14366666666666,67.16,53.82011111111112,27.627167960049512,49.05468471146683,61.441339704003134,76.9121422529732,78.5707427566558,-99.59092599479361,-99.66273187183812,-99.60714285714286,-99.68276856524874,-86.74698795180723,-99.58805355303811,16.37690241700861,25.38149730687128,38.643920797039506
2024-12-09 14:00:00,3.85,2.5366666666666284,43.174000000000014,64.97714285714287,88.89285714285712,78.04533333333333,66.55616666666667,53.645555555555546,15.738583980024757,33.98645647431122,47.04350477800235,67.17052328591011,73.75004967558124,-96.1767626613704,-96.45193991337204,-97.03846153846155,-96.35313062423037,-94.65129202556267,-96.02272727272728,19.093638044817737,27.004749379271388,39.24158627696188
2024-12-10 14:00:00,115.21,39.83333333333329,44.70400000000001,62.79857142857143,87.215,80.25200000000001,67.50783333333334,54.39566666666666,65.47429199001238,61.060970982874146,64.08512858350176,73.57578684778876,76.42488518038245,3370.1807228915663,7.112309408702111,-11.689406714701835,11.648415544141871,-16.93583273251622,135.074474597021,65.21937717740644,60.086183359226226,54.74498224476328
