Datetime,Return,SMA_3,SMA_5,SMA_7,SMA_10,SMA_30,SMA_50,SMA_60,SMA_100,SMA_200,EMA_12,EMA_26,ROC_12,ROC_50,RSI_5,RSI_7,RSI_14
2018-07-19 14:00:00,-0.0010485320551228,0.01461227588049429,0.011497604832139772,-0.002973613488796376,0.003035153455853601,0.0033346447107252884,0.0026535238444020197,0.002326070028247226,0.02972138772434253,0.14809681431198402,0.005159734098389475,0.00515595632630117,-96.48128258735653,-96.69662943577114,47.57855158141053,48.613539108425684,49.50391002219391
2018-07-20 14:00:00,-0.0058479532163743,-0.0031951534910566112,0.01045491774216439,-0.00044153903717196214,0.002819873145763531,0.003241600538733742,0.0024437860573282857,0.002546976559384995,0.027753920706399492,0.04867627019807604,0.0034662437422719712,0.004340851915732617,49.147173489282,-226.062378167645,45.906289943823225,47.58608362375528,49.1318192023891
2018-07-22 14:00:00,-0.0311477962934121,-0.022839709363996107,-0.01445132706975697,-0.0014852265949703044,-0.008933442251356258,0.002001577837977045,0.005170661159169548,0.0011287630323768383,0.026836376172842038,0.04831484981532005,-0.006413855264036995,-0.0007477606057907718,742.9372371904286,-84.3490152731401,37.38791892925214,42.15552215873069,47.127118874555485
2018-07-23 14:00:00,0.0753898087124256,0.004239544612270524,0.0011644297130627285,0.007243929751702752,0.0009627860576608222,0.004680134375631848,0.003123499608591004,0.0022612672838042266,0.03016028759583979,0.048294413509224574,0.006171323809264942,0.004892059343706736,378.2818158608806,-57.58610113086888,71.9172799195583,65.08827877241765,55.92495382653323
2018-07-24 14:00:00,0.0285500747384155,0.02426402905247639,0.0070841510717703894,0.004526178300293766,0.009290877951955212,0.003269074748221298,0.003178919442403204,0.00312940955508551,0.02762783962527523,0.04843235803901046,0.009614208567595798,0.006644504928499977,-26.980684336340083,10.748992450473862,55.19038497863736,54.08905514617415,51.84072493098995
2018-07-25 14:00:00,-0.0114808894056097,0.030819664681743852,0.005957563833923309,0.003270190556874223,0.00820624078804398,0.0030210376433191643,0.00227171297924727,0.002680721972875003,0.026710870299132713,0.048182904427396284,0.0063688088794103355,0.0053018831259733345,-51.29535736626435,-133.88748905777854,44.20642150772311,46.289495058822375,48.57567661893188
2018-07-26 14:00:00,0.0142605116142311,0.010443232315679021,0.015114341873209947,0.005457196795353352,0.008203720520895671,0.0034235851183437144,0.002947692442301124,0.0025434294912451082,0.027594216156015764,0.04683475072506425,0.007582916992459684,0.00596548523621465,-126.05571286446775,-172.98687046653689,51.90089327703889,51.532652354506126,50.72483037603543
2018-07-27 14:00:00,-0.0200028989708652,-0.005741092254081211,0.01734332133771933,0.0034350616875689377,0.001445997133981312,0.0031407985731546377,0.002619813970180224,0.0021518788988880017,0.02829618716630711,0.04758967716942052,0.0033389453057943172,0.004041901220875402,3052.4568778086627,454.25423974490747,42.21445340524258,44.74901895374009,47.8577848597443
2018-07-28 14:00:00,-0.038603756840704,-0.014782048065779312,-0.00545539177290659,0.0024235790792115222,-0.002145481029921798,0.0020272350249211945,0.003079234896358268,0.001342143922357995,0.029539079032940743,0.048092574979482876,-0.003113778101359271,0.0008829635866843349,-370.22629788492964,-37.30591919732204,37.46903743533586,41.30524783368158,46.326928104556764
2018-07-29 14:00:00,-0.0615384615384615,-0.040048372450010174,-0.023473099028281992,-0.0019179445272241064,-0.008194473978255668,0.002762085631546381,0.0015094826147415822,0.0008455242072924048,0.028306572568816635,0.047250970681479695,-0.012102190937836538,-0.0037408456818449863,-229.35222672064816,-463.0769230769245,31.93599761685654,37.188396520793944,44.43939339843164
2018-07-30 14:00:00,0.1149180327868852,0.004925271469239957,0.0018066854102169905,0.003728944626270123,0.0038821246220702823,0.008256762270017494,0.003002562742426484,0.0026835091514519514,0.029675886460870493,0.047002106532082005,0.007439381942889886,0.005048700871394286,-4373.673952641546,185.41117979037998,71.87656122965686,66.84784235957508,58.46217987557355
2018-07-31 14:00:00,0.0026466696074105,0.01867541361861146,-0.0005160829911471303,2.84581789836943e-05,0.007299129441031542,0.0023025603478402713,0.004337222022899568,0.00272762031157546,0.026424659681982533,0.047390379028255616,0.006702041583585365,0.004870772629617709,-352.4166614153281,-104.12985277354352,49.005622951982,49.49819497406663,49.8426344306328
2018-08-01 14:00:00,0.0021997360316763,0.039921479475324054,0.00392444400936117,0.0019828332414531225,0.01063388267354038,0.003632875288057808,0.00605918284522801,0.006081198078231352,0.026922847518489775,0.0474826372310143,0.00600937919098397,0.004672918066807234,-137.61548614166452,-102.62190759331114,48.928151891311614,49.43860266389598,49.8111500903312
2018-08-02 14:00:00,0.0080479953175298,0.004298133652205588,0.01325479444100793,0.001095330913352937,0.0038997013340508016,0.003911805053067385,0.004281197330672035,0.003252866562834303,0.026601327471665073,0.047282815256130595,0.00632301244122179,0.0049229237890829804,-125.53024351924525,-91.69858498258617,50.215457779608116,50.351119212361404,50.25396314567458
2018-08-03 14:00:00,0.0220641602554796,0.01077063053489529,0.029975318799796154,0.007104910802830765,0.0032511098857572114,0.004647277061583371,0.004300824269969517,0.0031909511829622053,0.026946945040380227,0.04778229861898435,0.008744727489569146,0.006192645008816063,-170.8369865002176,4.654724923790822,53.71082056192649,52.736182189244424,51.36155591086549
2018-08-04 14:00:00,-0.0113620224399942,0.006250044377671787,0.004719307754420271,0.010996587145789308,0.003262996582318761,0.004529876313583564,0.0059037787336242075,0.002436926913092518,0.026761284317537912,0.04783143580023167,0.0056513813465594006,0.004892299271867155,-115.0710323239241,-87.58381157911101,44.414871316952095,46.51860174420616,48.58342916983929
