sliding_window,lag_price_window,n_estimators,max_depth,percentile,data_points,mse,mae,r2,worst_avg_error,mae_rank,mse_rank,r2_rank,worst_error_rank,avg_rank
7,6,200,30.0,99,2229,24.35109007594823,15.062359802602064,0.8190591011016986,75.7035714285714,2.5,2.5,4.5,152.5,40.5
7,6,200,20.0,99,2229,24.35109007594823,15.062359802602064,0.8190591011016986,75.7035714285714,2.5,2.5,4.5,152.5,40.5
7,6,200,,99,2229,24.35109007594823,15.062359802602064,0.8190591011016986,75.7035714285714,2.5,2.5,4.5,152.5,40.5
7,6,200,10.0,99,2229,24.35109007594823,15.062359802602064,0.8190591011016986,75.7035714285714,2.5,2.5,4.5,152.5,40.5
7,4,300,20.0,99,2229,24.989060177294675,16.500023867205034,0.8082423067990012,72.99756696428571,22.5,38.5,51.5,50.5,40.75
7,4,300,10.0,99,2229,24.989060177294675,16.500023867205034,0.8082423067990012,72.99756696428571,22.5,38.5,51.5,50.5,40.75
7,4,300,30.0,99,2229,24.989060177294675,16.500023867205034,0.8082423067990012,72.99756696428571,22.5,38.5,51.5,50.5,40.75
7,4,300,,99,2229,24.989060177294675,16.500023867205034,0.8082423067990012,72.99756696428571,22.5,38.5,51.5,50.5,40.75
90,4,300,10.0,99,2147,25.04593099996587,16.84613823168567,0.8089895592862311,71.33704339975823,70.0,45.0,39.0,18.0,43.0
7,4,100,10.0,99,2229,25.027008011203502,16.558148362494393,0.8075690184099258,72.83449821428572,30.5,42.5,58.5,42.5,43.5
7,4,100,,99,2229,25.027008011203502,16.558148362494393,0.8075690184099258,72.83449821428572,30.5,42.5,58.5,42.5,43.5
7,4,100,30.0,99,2229,25.027008011203502,16.558148362494393,0.8075690184099258,72.83449821428572,30.5,42.5,58.5,42.5,43.5
7,4,100,20.0,99,2229,25.027008011203502,16.558148362494393,0.8075690184099258,72.83449821428572,30.5,42.5,58.5,42.5,43.5
90,4,400,10.0,99,2147,25.05052168305198,16.838866319476477,0.809464804217756,71.34020271275084,69.0,50.0,37.0,19.0,43.75
7,6,300,,99,2229,24.351090075948232,15.062359802602076,0.8190591011016986,75.7035714285714,14.5,6.5,4.5,152.5,44.5
7,6,300,10.0,99,2229,24.351090075948232,15.062359802602076,0.8190591011016986,75.7035714285714,14.5,6.5,4.5,152.5,44.5
7,6,300,30.0,99,2229,24.351090075948232,15.062359802602076,0.8190591011016986,75.7035714285714,14.5,6.5,4.5,152.5,44.5
7,6,300,20.0,99,2229,24.351090075948232,15.062359802602076,0.8190591011016986,75.7035714285714,14.5,6.5,4.5,152.5,44.5
90,4,200,10.0,99,2147,25.060513607458518,16.87748203970438,0.8092632425386639,71.30140792606734,77.0,54.0,38.0,17.0,46.5
90,4,400,30.0,99,2147,25.06566829436712,16.859382557056353,0.8086883914217602,71.3829983796296,71.5,55.5,41.5,24.5,48.25
90,4,400,,99,2147,25.06566829436712,16.859382557056353,0.8086883914217602,71.3829983796296,71.5,55.5,41.5,24.5,48.25
7,6,400,30.0,99,2229,24.351090075948235,15.062359802602073,0.8190591011016984,75.70357142857146,10.5,10.5,10.5,162.5,48.5
7,6,100,10.0,99,2229,24.351090075948242,15.062359802602067,0.8190591011016983,75.70357142857142,6.5,14.5,14.5,158.5,48.5
7,6,100,20.0,99,2229,24.351090075948242,15.062359802602067,0.8190591011016983,75.70357142857142,6.5,14.5,14.5,158.5,48.5
7,6,400,,99,2229,24.351090075948235,15.062359802602073,0.8190591011016984,75.70357142857146,10.5,10.5,10.5,162.5,48.5
7,6,400,20.0,99,2229,24.351090075948235,15.062359802602073,0.8190591011016984,75.70357142857146,10.5,10.5,10.5,162.5,48.5
7,6,400,10.0,99,2229,24.351090075948235,15.062359802602073,0.8190591011016984,75.70357142857146,10.5,10.5,10.5,162.5,48.5
7,6,100,,99,2229,24.351090075948242,15.062359802602067,0.8190591011016983,75.70357142857142,6.5,14.5,14.5,158.5,48.5
7,6,100,30.0,99,2229,24.351090075948242,15.062359802602067,0.8190591011016983,75.70357142857142,6.5,14.5,14.5,158.5,48.5
90,4,400,20.0,99,2147,25.065700186135754,16.859456724758058,0.808687904598958,71.38213842592589,73.0,57.0,43.0,23.0,49.0
7,4,200,10.0,99,2229,25.04669118275126,16.541799371915662,0.8072156117971495,73.1412575892857,26.5,47.5,66.5,63.5,51.0
90,4,200,20.0,99,2147,25.07538540708397,16.89983913522745,0.8082438762410479,71.35768657407408,79.0,58.0,47.0,20.0,51.0
7,4,200,,99,2229,25.04669118275126,16.541799371915662,0.8072156117971495,73.1412575892857,26.5,47.5,66.5,63.5,51.0
7,4,200,20.0,99,2229,25.04669118275126,16.541799371915662,0.8072156117971495,73.1412575892857,26.5,47.5,66.5,63.5,51.0
7,4,200,30.0,99,2229,25.04669118275126,16.541799371915662,0.8072156117971495,73.1412575892857,26.5,47.5,66.5,63.5,51.0
90,4,300,20.0,99,2147,25.05837134887765,16.863241176663387,0.8079851383121356,71.39869043209876,74.0,51.0,54.0,26.0,51.25
90,4,100,10.0,99,2147,25.11138558931037,16.897239301136082,0.8088988312680105,71.44972917967314,78.0,61.0,40.0,29.0,52.0
90,4,200,30.0,99,2147,25.075457916016127,16.899844736842102,0.8082427672609349,71.35940648148149,80.5,59.5,48.5,21.5,52.5
90,4,200,,99,2147,25.075457916016127,16.899844736842102,0.8082427672609349,71.35940648148149,80.5,59.5,48.5,21.5,52.5
90,4,300,,99,2147,25.058449066309148,16.863273591057286,0.8079839472590704,71.39983703703705,75.5,52.5,55.5,27.5,52.75
90,4,300,30.0,99,2147,25.058449066309148,16.863273591057286,0.8079839472590704,71.39983703703705,75.5,52.5,55.5,27.5,52.75
90,4,100,20.0,99,2147,25.14726230972304,16.916606728768823,0.8083523874382817,71.6433787037037,84.0,62.0,44.0,30.0,55.0
90,4,100,30.0,99,2147,25.147423762801534,16.916534606427575,0.8083499265583671,71.64339351851852,82.5,63.5,45.5,31.5,55.75
90,4,100,,99,2147,25.147423762801534,16.916534606427575,0.8083499265583671,71.64339351851852,82.5,63.5,45.5,31.5,55.75
10,6,100,30.0,99,2226,25.25214537210958,16.81893095238095,0.803196974485017,72.45862857142856,66.5,78.5,82.5,34.5,65.5
10,6,100,20.0,99,2226,25.25214537210958,16.81893095238095,0.803196974485017,72.45862857142856,66.5,78.5,82.5,34.5,65.5
10,6,100,,99,2226,25.25214537210958,16.81893095238095,0.803196974485017,72.45862857142856,66.5,78.5,82.5,34.5,65.5
10,6,100,10.0,99,2226,25.25214537210958,16.81893095238095,0.803196974485017,72.45862857142856,66.5,78.5,82.5,34.5,65.5
30,2,200,,99,2206,25.154589092164127,16.63658658598843,0.8072443996890553,73.2998261261261,58.0,66.0,62.0,79.0,66.25
30,2,200,30.0,99,2206,25.154589092164127,16.63658658598843,0.8072443996890553,73.2998261261261,58.0,66.0,62.0,79.0,66.25
30,2,200,20.0,99,2206,25.154589092164127,16.63658658598843,0.8072443996890553,73.2998261261261,58.0,66.0,62.0,79.0,66.25
30,2,200,10.0,99,2206,25.154776211128883,16.636845575396826,0.807241531952882,73.2918078228228,60.0,68.0,64.0,77.0,67.25
30,2,300,20.0,99,2206,25.16619813238076,16.626257584347886,0.8070664421905187,73.35605675675676,50.0,74.0,70.0,83.0,69.25
30,2,300,,99,2206,25.16619813238076,16.626257584347886,0.8070664421905187,73.35605675675676,50.0,74.0,70.0,83.0,69.25
30,2,300,30.0,99,2206,25.16619813238076,16.626257584347886,0.8070664421905187,73.35605675675676,50.0,74.0,70.0,83.0,69.25
30,2,400,,99,2206,25.161148642519038,16.625882970132867,0.8070075213828216,73.40009076576582,47.0,70.0,74.0,87.0,69.5
30,2,400,30.0,99,2206,25.161148642519038,16.625882970132867,0.8070075213828216,73.40009076576582,47.0,70.0,74.0,87.0,69.5
30,2,400,20.0,99,2206,25.161148642519038,16.625882970132867,0.8070075213828216,73.40009076576582,47.0,70.0,74.0,87.0,69.5
30,2,300,10.0,99,2206,25.16693002278682,16.626982910130863,0.8070552201320638,73.35055441441442,53.0,76.0,72.0,81.0,70.5
30,2,400,10.0,99,2206,25.16148219382278,16.626436487641033,0.8070024045004047,73.39701531531537,52.0,72.0,76.0,85.0,71.25
30,2,100,10.0,99,2206,25.318247220730676,16.704680682500108,0.8040553492547818,73.89287693693694,61.0,81.0,77.0,93.0,78.0
30,2,100,,99,2206,25.318984099999305,16.70504992250572,0.8040439432794115,73.8979972972973,63.0,83.0,79.0,95.0,80.0
30,2,100,20.0,99,2206,25.318984099999305,16.70504992250572,0.8040439432794115,73.8979972972973,63.0,83.0,79.0,95.0,80.0
30,2,100,30.0,99,2206,25.318984099999305,16.70504992250572,0.8040439432794115,73.8979972972973,63.0,83.0,79.0,95.0,80.0
10,6,400,30.0,99,2226,25.475611101005377,16.98590750224618,0.7993035022638959,73.03643727678575,102.5,86.5,97.5,54.5,85.25
10,6,400,10.0,99,2226,25.475611101005377,16.98590750224618,0.7993035022638959,73.03643727678575,102.5,86.5,97.5,54.5,85.25
10,6,400,20.0,99,2226,25.475611101005377,16.98590750224618,0.7993035022638959,73.03643727678575,102.5,86.5,97.5,54.5,85.25
10,6,400,,99,2226,25.475611101005377,16.98590750224618,0.7993035022638959,73.03643727678575,102.5,86.5,97.5,54.5,85.25
10,6,300,,99,2226,25.54825213822909,17.04176476489967,0.801523163677966,73.09861845238096,126.5,90.5,90.5,59.5,91.75
10,6,300,20.0,99,2226,25.54825213822909,17.04176476489967,0.801523163677966,73.09861845238096,126.5,90.5,90.5,59.5,91.75
10,6,300,30.0,99,2226,25.54825213822909,17.04176476489967,0.801523163677966,73.09861845238096,126.5,90.5,90.5,59.5,91.75
10,6,300,10.0,99,2226,25.54825213822909,17.04176476489967,0.801523163677966,73.09861845238096,126.5,90.5,90.5,59.5,91.75
30,4,400,,99,2206,25.610971877823555,16.947427470534905,0.7993180924067175,74.54799346846848,86.0,94.0,94.0,102.0,94.0
30,4,400,20.0,99,2206,25.610971877823555,16.947427470534905,0.7993180924067175,74.54799346846848,86.0,94.0,94.0,102.0,94.0
30,4,400,30.0,99,2206,25.610971877823555,16.947427470534905,0.7993180924067175,74.54799346846848,86.0,94.0,94.0,102.0,94.0
30,4,400,10.0,99,2206,25.613393547583268,16.948911305130128,0.7992801392758749,74.55526973348351,88.0,96.0,100.0,104.0,97.0
30,4,300,30.0,99,2206,25.64030076466819,16.964629752190998,0.7989185726005101,74.60055615615622,94.0,102.0,102.0,106.0,101.0
30,4,300,,99,2206,25.64030076466819,16.964629752190998,0.7989185726005101,74.60055615615622,94.0,102.0,102.0,106.0,101.0
30,4,300,20.0,99,2206,25.64030076466819,16.964629752190998,0.7989185726005101,74.60055615615622,94.0,102.0,102.0,106.0,101.0
30,4,300,10.0,99,2206,25.642387595953892,16.9658994817705,0.7988858397481297,74.60737460960966,96.0,104.0,104.0,108.0,103.0
30,4,200,,99,2206,25.66514380445943,16.960254691749775,0.7984682360985688,74.79568378378379,90.0,106.0,107.0,110.0,103.25
30,4,200,30.0,99,2206,25.66514380445943,16.960254691749775,0.7984682360985688,74.79568378378379,90.0,106.0,107.0,110.0,103.25
30,4,200,20.0,99,2206,25.66514380445943,16.960254691749775,0.7984682360985688,74.79568378378379,90.0,106.0,107.0,110.0,103.25
30,4,200,10.0,99,2206,25.66815517669308,16.961859376942755,0.7984209406096654,74.80809483483483,92.0,108.0,109.0,112.0,105.25
10,6,200,20.0,99,2226,25.614264930773324,17.088199213836475,0.7971129314781131,73.17900357142854,138.5,98.5,121.5,71.5,107.5
10,6,200,,99,2226,25.614264930773324,17.088199213836475,0.7971129314781131,73.17900357142854,138.5,98.5,121.5,71.5,107.5
10,6,200,30.0,99,2226,25.614264930773324,17.088199213836475,0.7971129314781131,73.17900357142854,138.5,98.5,121.5,71.5,107.5
10,6,200,10.0,99,2226,25.614264930773324,17.088199213836475,0.7971129314781131,73.17900357142854,138.5,98.5,121.5,71.5,107.5
30,4,100,20.0,99,2206,25.75084339616724,17.007660788757935,0.7971201021856729,75.289890990991,118.0,110.0,118.0,126.0,118.0
30,4,100,,99,2206,25.75084339616724,17.007660788757935,0.7971201021856729,75.289890990991,118.0,110.0,118.0,126.0,118.0
