sliding_window,lag_price_window,n_estimators,max_depth,percentile,data_points,mse,mae,r2,worst_avg_error,mae_rank,mse_rank,r2_rank,worst_error_rank,avg_rank
30,2,100,20.0,99,2206,23.749367315974254,15.9053291931097,0.8283575976781761,68.88507297297296,59.0,42.0,86.0,56.0,60.75
30,2,100,,99,2206,23.749367315974254,15.9053291931097,0.8283575976781761,68.88507297297296,59.0,42.0,86.0,56.0,60.75
90,6,400,20.0,99,2147,23.861791984234422,15.983783127619937,0.831363159957947,69.23749282407405,74.0,68.0,21.0,81.0,61.0
30,2,200,30.0,99,2206,23.754411385435038,15.878766681776971,0.8284527576639722,69.03507252252251,54.0,45.0,81.0,66.0,61.5
30,2,200,,99,2206,23.754411385435038,15.878766681776971,0.8284527576639722,69.03507252252251,54.0,45.0,81.0,66.0,61.5
30,2,200,20.0,99,2206,23.754411385435038,15.878766681776971,0.8284527576639722,69.03507252252251,54.0,45.0,81.0,66.0,61.5
90,6,400,,99,2147,23.861806874430226,15.983801548672565,0.8313629494929196,69.23752291666665,75.5,69.5,22.5,82.5,62.5
90,6,400,30.0,99,2147,23.861806874430226,15.983801548672565,0.8313629494929196,69.23752291666665,75.5,69.5,22.5,82.5,62.5
90,6,400,10.0,99,2147,23.865108003228713,15.985639081745456,0.8313162865445278,69.2142455131291,77.0,74.0,24.0,77.0,63.0
30,2,200,10.0,99,2206,23.75530719738456,15.880185336540723,0.8284398188489681,69.03550893393391,56.0,47.0,83.0,68.0,63.5
90,6,200,,99,2147,23.864419720536606,15.995191150442473,0.8312965166344659,69.14281527777776,87.5,71.5,25.5,71.0,63.875
90,6,200,30.0,99,2147,23.864419720536606,15.995191150442473,0.8312965166344659,69.14281527777776,87.5,71.5,25.5,71.0,63.875
90,4,400,30.0,99,2147,23.83821718056481,16.051712587331156,0.8308657353629632,68.8474324074074,113.5,58.5,37.5,47.5,64.25
90,4,400,,99,2147,23.83821718056481,16.051712587331156,0.8308657353629632,68.8474324074074,113.5,58.5,37.5,47.5,64.25
90,6,200,20.0,99,2147,23.86442858172253,15.9952017699115,0.8312963913506142,69.14281527777776,89.0,73.0,27.0,71.0,65.0
90,4,400,20.0,99,2147,23.838340087657883,16.051770016621706,0.83086399128502,68.84830393518517,115.0,60.0,39.0,49.0,65.75
90,2,200,20.0,99,2147,23.856847420356345,15.975374862210836,0.8305498036526886,69.42730740740738,69.0,62.0,42.0,94.0,66.75
90,6,200,10.0,99,2147,23.876819565470793,15.992514694367305,0.8311211559487062,69.16987309987695,82.0,76.0,36.0,73.0,66.75
90,2,200,,99,2147,23.85695879571659,15.975443036795523,0.8305482214972275,69.42730740740738,70.5,63.5,46.5,94.0,68.625
90,2,200,30.0,99,2147,23.85695879571659,15.975443036795523,0.8305482214972275,69.42730740740738,70.5,63.5,46.5,94.0,68.625
90,6,300,,99,2147,23.878760614076818,16.00501297935103,0.8311232321630793,69.19072376543208,90.5,77.5,33.5,75.0,69.125
90,6,300,30.0,99,2147,23.878760614076818,16.00501297935103,0.8311232321630793,69.19072376543208,90.5,77.5,33.5,75.0,69.125
90,6,300,10.0,99,2147,23.87926156813215,16.00688421476026,0.8311811718024918,69.10846524726774,96.0,80.0,32.0,69.0,69.25
90,2,400,10.0,99,2147,23.85487308224294,15.992755978814031,0.8306073135987694,69.37153246519486,83.0,61.0,41.0,92.0,69.25
90,4,400,10.0,99,2147,23.832797364169362,16.052144637260355,0.8300037042162169,68.80031952386909,116.0,57.0,59.0,46.0,69.5
90,6,300,20.0,99,2147,23.878766715770155,16.005020058997047,0.831123145857563,69.19072376543208,92.0,79.0,35.0,75.0,70.25
90,2,400,,99,2147,23.859003135889285,15.993806217978566,0.8305486537650704,69.34515787037036,85.5,65.5,43.5,89.5,71.0
90,2,400,30.0,99,2147,23.859003135889285,15.993806217978566,0.8305486537650704,69.34515787037036,85.5,65.5,43.5,89.5,71.0
90,2,400,20.0,99,2147,23.85902843112617,15.993806108329444,0.8305482944613567,69.34577291666665,84.0,67.0,45.0,91.0,71.75
90,2,200,10.0,99,2147,23.86868690400099,15.981422045630072,0.830381575168518,69.50736812918642,72.0,75.0,48.0,100.0,73.75
90,4,300,,99,2147,23.88218419217493,16.085912203074052,0.8302412603133539,68.77826172839507,129.5,81.5,49.5,42.5,75.75
90,4,300,30.0,99,2147,23.88218419217493,16.085912203074052,0.8302412603133539,68.77826172839507,129.5,81.5,49.5,42.5,75.75
90,4,300,20.0,99,2147,23.882347490005827,16.086001646133713,0.8302389388063662,68.7794237654321,131.0,83.0,51.0,44.0,77.25
90,6,100,10.0,99,2147,23.893142054096216,15.982620499310553,0.8275019888418096,69.26193511801698,73.0,85.0,91.0,88.0,84.25
90,4,300,10.0,99,2147,23.88311195983284,16.09095132487701,0.8271777036794558,68.74889465423608,136.0,84.0,95.0,41.0,89.0
90,6,100,30.0,99,2147,23.90121639395993,16.00619888216115,0.8273853827542317,69.25289166666667,93.5,86.5,92.5,85.0,89.375
90,6,100,,99,2147,23.90121639395993,16.00619888216115,0.8273853827542317,69.25289166666667,93.5,86.5,92.5,85.0,89.375
90,4,200,30.0,99,2147,23.917767891218194,16.117938938053094,0.8291190524393897,68.88204212962962,145.5,90.5,72.5,52.5,90.25
90,4,200,10.0,99,2147,23.916667451772245,16.12264021416859,0.8288051297479451,68.79811168106495,148.0,89.0,79.0,45.0,90.25
90,4,200,,99,2147,23.917767891218194,16.117938938053094,0.8291190524393897,68.88204212962962,145.5,90.5,72.5,52.5,90.25
90,6,100,20.0,99,2147,23.901234552219563,16.006220121099204,0.8273851204761806,69.25289166666667,95.0,88.0,94.0,85.0,90.5
90,4,200,20.0,99,2147,23.918011301618208,16.118069492954643,0.8291155743212274,68.88378518518519,147.0,92.0,74.0,54.0,91.75
90,4,100,30.0,99,2147,23.978318771750423,16.152184210526315,0.8282527434047853,68.97896574074073,153.5,97.5,88.5,62.5,100.5
90,4,100,,99,2147,23.978318771750423,16.152184210526315,0.8282527434047853,68.97896574074073,153.5,97.5,88.5,62.5,100.5
30,4,400,30.0,99,2206,23.973864207228434,16.036917441069807,0.8268165610499301,69.68626193693694,110.0,94.0,97.0,106.0,101.75
30,4,400,20.0,99,2206,23.973864207228434,16.036917441069807,0.8268165610499301,69.68626193693694,110.0,94.0,97.0,106.0,101.75
30,4,400,,99,2206,23.973864207228434,16.036917441069807,0.8268165610499301,69.68626193693694,110.0,94.0,97.0,106.0,101.75
90,4,100,20.0,99,2147,23.978796349269437,16.152360369951428,0.8282459019371822,68.98245185185185,155.0,99.0,90.0,64.0,102.0
90,4,100,10.0,99,2147,23.981603413431138,16.15477400853524,0.8247466824180539,68.85281899987473,156.0,100.0,104.0,50.0,102.5
30,4,400,10.0,99,2206,23.973877997246568,16.036963002396387,0.8268163618160119,69.68789974662162,112.0,96.0,99.0,108.0,103.75
30,4,300,10.0,99,2206,24.0263473893853,16.064727881776687,0.8254370655521709,69.8463871925497,121.0,101.0,100.0,112.0,108.5
30,4,300,30.0,99,2206,24.02653568307052,16.064862012692657,0.8254343294536293,69.84534234234235,123.0,103.0,102.0,110.0,109.5
30,4,300,20.0,99,2206,24.02653568307052,16.064862012692657,0.8254343294536293,69.84534234234235,123.0,103.0,102.0,110.0,109.5
30,4,300,,99,2206,24.02653568307052,16.064862012692657,0.8254343294536293,69.84534234234235,123.0,103.0,102.0,110.0,109.5
30,4,200,10.0,99,2206,24.036297368136896,16.05344464653823,0.8244438296924975,70.06332566495067,117.0,105.0,105.0,128.0,113.75
30,4,200,,99,2206,24.037153374232478,16.0537416137806,0.824431325285058,70.06321351351352,119.0,107.0,107.0,126.0,114.75
