sliding_window,lag_price_window,n_estimators,max_depth,percentile,data_points,mse,mae,r2,worst_avg_error
7,1,100,,100,2252,3688.8717166448914,40.47543019242155,-0.0824027256560699,42.527172744273024
7,1,100,,99,2230,2956.9921557507005,38.16450434379671,-0.0732164272509947,40.88868501121579
7,1,100,,95,2139,1994.0580135298624,33.03207013401901,-0.033144446543093,42.527172744273024
7,1,100,,85,1914,932.4662543071344,24.779700609543703,-0.0077268811982305,46.90413009404388
7,1,100,,75,1690,585.4992522721793,20.189805218934907,-0.0135704713408808,51.878550323662914
7,2,100,,100,2252,3671.2914896819166,40.50495683836589,-0.0772442688042054,42.55829499766246
7,2,100,,99,2230,2942.4222449153353,38.20012304932735,-0.067928395755312,40.91798393898609
7,2,100,,95,2139,1986.8123774589803,33.09426563814867,-0.0293903989589643,42.55829499766246
7,2,100,,85,1914,938.6325342694672,24.918484430512024,-0.0143908500510809,46.93844994775339
7,2,100,,75,1689,590.1456468388161,20.31718567199527,-0.0234658215016414,51.89176944937832
7,4,100,,100,2252,3631.986031646534,40.502292184724695,-0.0657111122786773,42.56328003740065
7,4,100,,99,2230,2909.5296087443926,38.209864573991034,-0.0559902790424917,40.91653835800808
7,4,100,,95,2139,1969.4176678896667,33.158034595605436,-0.0203779993854165,42.56328003740065
7,4,100,,85,1914,949.4178849926864,25.137892371995836,-0.026046701184283,46.956820271682346
7,4,100,,75,1689,600.1883984819427,20.545239786856143,-0.0321740833635721,51.86179514505625
7,6,100,,100,2252,3632.225532904085,40.50220692717584,-0.06578138764575,42.56314165497896
7,6,100,,99,2230,2909.7284001345297,38.20969955156951,-0.0560624287724382,40.91649170031403
7,6,100,,95,2139,1969.5180753623183,33.15752220663861,-0.0204300216546071,42.56314165497896
7,6,100,,85,1914,949.33939984326,25.13637931034483,-0.0259618813910882,46.83323958333334
7,6,100,,75,1689,600.1192570159858,20.543700414446416,-0.0320551773176922,51.86184724689164
10,1,100,,100,2249,3687.7552633413466,40.68501367464904,-0.0807338197700964,42.744962118780094
10,1,100,,99,2227,2957.196232389743,38.37726637693244,-0.0719331216266978,41.10030750406452
10,1,100,,95,2136,1998.7531518255096,33.265096328696266,-0.034158616885475,42.744962118780094
10,1,100,,85,1911,946.6305308661211,25.078628055244064,-0.0214670660943367,47.133765354713304
10,1,100,,75,1687,597.7618144318822,20.491726554040692,-0.0322817430194422,52.075028032997416
10,2,100,,100,2249,3677.403698953048,40.661549381206456,-0.0777001895741964,42.721375842696624
10,2,100,,99,2227,2948.2012762510917,38.3562309272564,-0.068672603671551,41.07694060721772
10,2,100,,95,2136,1993.2417738715717,33.2553875429151,-0.0313070196300699,42.721375842696624
10,2,100,,85,1911,946.9655215379084,25.09930561224489,-0.021828539686749,47.11241988923774
10,2,100,,75,1687,598.6079347643243,20.51856646413752,-0.0320761813445447,52.0409388954752
10,4,100,,100,2249,3643.2467076915054,40.56324269304876,-0.0676901392856386,42.62622805243445
10,4,100,,99,2227,2918.866183370388,38.266383569824875,-0.058039133582415,40.979440164719975
10,4,100,,95,2136,1975.206931625388,33.20150962390761,-0.0219757585406119,42.62622805243445
10,4,100,,85,1911,949.5968729824616,25.15079428222571,-0.0246679144504931,47.02362273853131
10,4,100,,75,1687,601.3498291711343,20.573378725548313,-0.0305853970807783,51.920783125864446
10,6,100,,100,2249,3646.968941830464,40.55274384170743,-0.0687809774871492,42.61422397003746
10,6,100,,99,2227,2921.8824673121007,38.25442138901362,-0.0591324849893792,40.969291883797545
10,6,100,,95,2136,1976.4972971794757,33.18314085518102,-0.022643396090288,42.61422397003746
10,6,100,,85,1911,947.7293603462984,25.113972457701028,-0.0226527643035709,47.009799912785624
10,6,100,,75,1687,599.701341602834,20.535817802805767,-0.0286641078802682,51.9129759533689
15,1,100,,100,2244,3509.7284887371993,39.492759987320674,-0.0263840319915098,41.535398390818074
15,1,100,,99,2222,2796.8786364817106,37.206783317421014,-0.0116318367890264,39.900474795566126
15,1,100,,95,2131,1881.1722323668955,32.19821717034255,0.0289322882215364,41.535398390818074
15,1,100,,85,1907,906.0021150882944,24.341104706594734,0.0277083013164827,45.89698125333981
15,1,100,,75,1683,565.1883241013938,19.764559045567715,0.0416847769613333,50.74541401310018
15,2,100,,100,2244,3557.5022139750395,40.04332775661024,-0.0403549670339842,42.10803835936628
15,2,100,,99,2222,2841.682229164936,37.75644249908921,-0.0278373096220894,40.45620055160697
15,2,100,,95,2131,1919.451948650155,32.744111196509586,0.0091721642631135,42.10803835936628
15,2,100,,85,1907,934.16811455245,24.87779333645468,-0.0029427145798861,46.48682423739608
15,2,100,,75,1683,588.8796037143555,20.30225589345841,0.0010508682689338,51.34242302025863
15,4,100,,100,2244,3590.990941337625,40.45518993036103,-0.0501484012346571,42.53680697768392
15,4,100,,99,2222,2873.380652167759,38.16847073789521,-0.0393026386740498,40.87152426366645
15,4,100,,95,2131,1947.6640470074144,33.158187150678195,-0.0053910199711038,42.53680697768392
15,4,100,,85,1907,957.417846390749,25.299242172364135,-0.0279041201340985,46.93438326874255
15,4,100,,75,1683,607.885701274369,20.7176543704081,-0.0311902291224794,51.79025262065095
15,6,100,,100,2244,3563.9760140550056,40.30365712460743,-0.0422481633452389,42.3841675142455
15,6,100,,99,2222,2849.667192918466,38.02202076004029,-0.0307254733926987,40.71877844718167
15,6,100,,95,2131,1931.4476787141944,33.032898751201095,0.002979926282999,42.3841675142455
15,6,100,,85,1907,954.5294364621622,25.235535158438843,-0.0248030619311174,46.78142373948112
15,6,100,,75,1683,605.2621987101292,20.65136081020288,-0.0233288700806533,51.62381261692556
30,1,100,,100,2229,905.2876025045766,18.776639861057895,0.7369566684558104,19.75361660832397
30,1,100,,99,2206,708.0923724974884,17.553086336641602,0.7831117652866915,18.971502230524084
30,1,100,,95,2117,468.96980559924464,14.947755942399596,0.8451812015366027,19.75361660832397
30,1,100,,85,1894,212.86448645127246,10.731154835850234,0.9229004602198999,21.92624623840345
30,1,100,,75,1672,108.56363760891696,7.987642174153101,0.955395820830982,24.480027340119015
30,2,100,,100,2229,847.293096578634,17.95146448140315,0.7538077420901056,18.88585438311177
30,2,100,,99,2206,641.0509558560176,16.70504992250572,0.8040439432794115,18.137979840910074
30,2,100,,95,2117,410.28227892957716,14.145883575364957,0.8609130626886988,18.88585438311177
30,2,100,,85,1894,195.63811441792936,10.309353368280785,0.9253092387702104,20.952669181123344
30,2,100,,75,1672,101.17270785336447,7.710382149122805,0.953468751284866,23.382576814621782
30,4,100,,100,2229,873.1591595696544,18.273992283535215,0.7462920140891187,19.220526641473782
30,4,100,,99,2206,663.10593561393,17.007660788757935,0.7971201021856729,18.463756754306434
30,4,100,,95,2117,426.4245282841899,14.414721350968351,0.8544806172655717,19.220526641473782
30,4,100,,85,1894,198.8340685374393,10.46203373812038,0.9198628298828448,21.330448785638858
30,4,100,,75,1672,104.1511509287261,7.868398744019139,0.9510881094967669,23.800303887559807
30,6,100,,100,2229,868.800775457519,18.461980843427547,0.7475584004549913,19.421951960321213
30,6,100,,99,2206,670.2069114652313,17.22589474161378,0.7932358973992742,18.653876518585676
30,6,100,,95,2117,434.78858607375065,14.65226032120926,0.8534685658618764,19.421951960321213
30,6,100,,85,1894,207.67601693045407,10.727451847940866,0.9102537227163936,21.555924762407603
