target_date,window_size,num_days_back,mse,r2
2018-03-27 14:00:00,3,10,75.84022149489238,0.02288028521283103
2018-03-27 14:00:00,5,10,143.72083231048907,0.3560998464608589
2018-03-27 14:00:00,7,10,2445.459192718399,-171.51642867879687
2018-03-27 14:00:00,3,15,30.438111846603153,-2.1186518999208634
2018-03-27 14:00:00,5,15,476.83551372573066,-0.16810709146272806
2018-03-27 14:00:00,7,15,207.67637533779342,0.1903910371250771
2018-03-27 14:00:00,3,20,75.82750336470365,-4.387848581385527
2018-03-27 14:00:00,5,20,190.6118727158564,-77.30897363126246
2018-03-27 14:00:00,7,20,476.5637925430873,-17.32037939225856
2018-03-27 14:00:00,3,30,303.52875952078875,-0.109286513501065
2018-03-27 14:00:00,5,30,235.6252079202438,0.0708479550596004
2018-03-27 14:00:00,7,30,72.21697422432719,-1.5862601036367638
