
2018-01-18 14:00:00,3,10,30.53465502592897,-6.126106799675387
2018-01-19 14:00:00,3,10,30.53465502592897,-6.126106799675387
2018-01-22 14:00:00,3,10,30.53465502592897,-6.126106799675387
2018-01-22 14:00:00,5,10,43.166017586798546,-20.10910928984232
2018-01-23 14:00:00,3,10,30.53465502592897,-6.126106799675387
2018-01-23 14:00:00,5,10,43.166017586798546,-20.10910928984232
2018-01-24 14:00:00,3,10,30.53465502592897,-6.126106799675387
2018-01-24 14:00:00,5,10,43.166017586798546,-20.10910928984232
2018-01-24 14:00:00,7,10,190.6427152321149,-74.40948349832482
2018-01-25 14:00:00,3,10,64.8273016008705,-0.24188746017639584
2018-01-25 14:00:00,5,10,25.13254176902666,-1.9275287736638362
2018-01-25 14:00:00,7,10,386.94596650650976,-103.96581122680949
2018-01-25 14:00:00,3,15,19.26669504959637,-0.7669130774441477
2018-01-26 14:00:00,3,10,8.913117229321225,-3.358705672317095
2018-01-26 14:00:00,5,10,14.118098180615121,-4.584469831341768
2018-01-26 14:00:00,7,10,840.4950451945133,-129.7914125625096
2018-01-26 14:00:00,3,15,19.26669504959637,-0.7669130774441477
2018-01-29 14:00:00,3,10,28.304951681166138,-2.2970624796056036
2018-01-29 14:00:00,5,10,12.063872518701173,-2.272534862928927
2018-01-29 14:00:00,7,10,282.0008264326737,-1951.9143104755533
2018-01-29 14:00:00,3,15,19.26669504959637,-0.7669130774441477
2018-01-29 14:00:00,5,15,97.4094614886224,-1.8625070638140633
2018-01-30 14:00:00,3,10,6.183617234872861,-1.4459543668655757
2018-01-30 14:00:00,5,10,8.828282232052588,-0.3737897804780548
2018-01-30 14:00:00,7,10,107.30019862317671,-11.891661420083786
2018-01-30 14:00:00,3,15,19.26669504959637,-0.7669130774441477
2018-01-30 14:00:00,5,15,97.4094614886224,-1.8625070638140633
2018-01-31 14:00:00,3,10,9.605366151479839,-1.60562232841793
2018-01-31 14:00:00,5,10,0.45298105249678844,-2.136987898177163
2018-01-31 14:00:00,7,10,63.31236136251842,-9.049421654024306
2018-01-31 14:00:00,3,15,19.26669504959637,-0.7669130774441477
2018-01-31 14:00:00,5,15,97.4094614886224,-1.8625070638140633
2018-01-31 14:00:00,7,15,243.31530544864026,-11.592163925537195
2018-02-01 14:00:00,3,10,6.191583618895852,0.036513097674629846
2018-02-01 14:00:00,5,10,86.71694738989353,-9.41867153535963
2018-02-01 14:00:00,7,10,5807.267768575735,-2597.3010340267906
2018-02-01 14:00:00,3,15,100.46032249515753,-7.0703842507459385
2018-02-01 14:00:00,5,15,12.446445006591226,-13.139402839962775
2018-02-01 14:00:00,7,15,34.57250215602637,-3.0591923610341265
2018-02-01 14:00:00,3,20,433.8702889836411,-37.47442228846184
2018-02-02 14:00:00,3,10,0.03282478054526495,0.7726815751712984
2018-02-02 14:00:00,5,10,672.1911714007312,-105.69531775697723
2018-02-02 14:00:00,7,10,1109.1277158087591,-4525.590004321007
2018-02-02 14:00:00,3,15,7.119960690274006,0.7907704502363118
2018-02-02 14:00:00,5,15,16.063920173657973,0.16865272515237262
2018-02-02 14:00:00,7,15,58.80868459705891,-3.329636627419357
2018-02-02 14:00:00,3,20,433.8702889836411,-37.47442228846184
2018-02-05 14:00:00,3,10,84.61718753771696,-9.166394340861514
2018-02-05 14:00:00,5,10,3433.826167246658,-1535.3703615157117
2018-02-05 14:00:00,7,10,1342.8871162811504,-215.5912027678825
2018-02-05 14:00:00,3,15,10.50737354097672,-10.936580060182589
2018-02-05 14:00:00,5,15,34.07226990500136,-3.0004595877179305
2018-02-05 14:00:00,7,15,27.72190722538191,-0.09598651340737208
2018-02-05 14:00:00,3,20,433.8702889836411,-37.47442228846184
2018-02-05 14:00:00,5,20,148.1168986643964,-4.084310586908153
2018-02-06 14:00:00,3,10,17.463305558035955,-1.7719092646205588
2018-02-06 14:00:00,5,10,6.968537387149588,-27.44010769166232
2018-02-06 14:00:00,7,10,254.96941376257269,-70.00184870965053
2018-02-06 14:00:00,3,15,11.304497717213598,0.414964512452087
2018-02-06 14:00:00,5,15,17.9000845406992,-0.31784722260545495
2018-02-06 14:00:00,7,15,90.53202762109102,-36.564117571197606
2018-02-06 14:00:00,3,20,433.8702889836411,-37.47442228846184
2018-02-06 14:00:00,5,20,148.1168986643964,-4.084310586908153
2018-02-07 14:00:00,3,10,3.0447643975154124,-0.3622954541964445
2018-02-07 14:00:00,5,10,30.951040405254318,-3.9920227746736776
2018-02-07 14:00:00,7,10,49.366726112824,-33.56993127769049
2018-02-07 14:00:00,3,15,31.735825086317575,-2.7261352441347797
2018-02-07 14:00:00,5,15,22.923259283887933,0.09372819069682892
2018-02-07 14:00:00,7,15,20.214814183916314,-6.936438446298025
2018-02-07 14:00:00,3,20,433.8702889836411,-37.47442228846184
2018-02-07 14:00:00,5,20,148.1168986643964,-4.084310586908153
2018-02-07 14:00:00,7,20,5.098739110437728,0.5866033153542198
2018-02-08 14:00:00,3,10,6.227756902479783,-24.416822375185216
2018-02-08 14:00:00,5,10,5.523901071555649,-0.5382519117955602
2018-02-08 14:00:00,7,10,63.43776179905935,-9.568556734537175
2018-02-08 14:00:00,3,15,13.720087568188674,-0.010105804502239968
2018-02-08 14:00:00,5,15,19.53078143581722,-7.103834514598715
2018-02-08 14:00:00,7,15,16.583681376894216,-0.23875296001420887
2018-02-08 14:00:00,3,20,54.10116743532245,0.1041506147756287
2018-02-08 14:00:00,5,20,2.123924417204424,0.8220431068822984
2018-02-08 14:00:00,7,20,59.80034220535437,-3.381314475132106
