window_size,num_days_back,mse,r2
3,10,19.390262249998948,-1.1260319996928811
5,10,35.43725875863607,0.2860001428787947
7,10,417.4995842467175,-1018.2860943523358
3,15,102.99798098307535,-1.3280857758144529
5,15,26.472662492963355,-11.842910100405922
7,15,131.0236503646191,-4.606089297494934
3,20,13.448695152610036,0.6060037480117269
5,20,11.715938192943689,0.6447699364826985
7,20,35.327989072827236,-3.64425277292525
3,30,53.46374710093216,0.016905522958635122
5,30,24.755959571593056,-0.049923871838984724
7,30,18.296060527527153,0.37629883669934816
