sliding_window,lag_price_window,percentile,data_points,mse,mae,r2,worst_avg_error,alpha
7,1,100,2252,58602.84722171444,43.19310154810423,-16.19546962768405,479.3823368191968,0.01
7,1,99,2229,2353.6021528706533,26.35611357345697,0.3093041710134452,160.14062855439585,0.01
7,1,95,2139,958.8078725631148,20.149911465994144,0.6912229433358346,89.95797911126375,0.01
7,1,85,1914,363.18631531476194,13.57422405731676,0.8636405091684387,48.23376457900744,0.01
7,1,75,1689,167.44223307522407,9.734707997285367,0.9327070025569608,30.34811922305882,0.01
7,2,100,2252,13372.141099325812,33.97259090930756,-2.9237043425658267,291.0313757474109,0.01
7,2,99,2229,2093.784949018054,26.121001761768305,0.3832245150736111,150.63274268638585,0.01
7,2,95,2139,962.6930522944303,20.392580303087048,0.6891514238055836,88.05887665564316,0.01
7,2,85,1914,378.490796126583,13.888090584768545,0.8622918319335278,49.05063437387336,0.01
7,2,75,1689,178.00595393570666,10.013826776564636,0.92845892745421,31.04752237018092,0.01
7,4,100,2252,178007.8434915785,45.29825844600974,-51.23173636373748,480.5588249725139,0.01
7,4,99,2229,2528.8882855989395,28.676767214895932,0.2402630123046201,165.70958107738764,0.01
7,4,95,2139,1158.379215241482,22.304128470556265,0.6301045695710639,96.82750207622782,0.01
7,4,85,1914,458.5015831617097,15.182144970269254,0.8402159706643032,53.988013113080434,0.01
7,4,75,1689,215.8657868597184,10.903798895266666,0.9152307155729442,34.702934819894594,0.01
7,6,100,2252,796.1315123001777,16.330803730017763,0.7663960730848706,91.45238938053096,0.01
7,6,99,2229,592.9755878869448,15.062359802602064,0.8190591011016984,75.70357142857144,0.01
7,6,95,2139,348.7560739130435,12.3622487143525,0.8888370965369763,53.072803738317766,0.01
7,6,85,1914,138.96889273772206,8.48014106583072,0.9511315476120376,29.91270833333333,0.01
7,6,75,1689,65.14455660153936,6.139911190053286,0.973245006086744,18.68905882352941,0.01
10,1,100,2249,331913.6898356584,65.77576298229086,-96.27064955093122,877.6316112088942,0.01
10,1,99,2226,3065.1179314026595,30.007300416905615,0.1024531083263566,184.55838011197892,0.01
10,1,95,2136,1222.2458359010643,22.826460150078223,0.599967755624796,100.6860100850463,0.01
10,1,85,1911,468.65420595011454,15.446116491007515,0.8197453361902836,54.841293655667094,0.01
10,1,75,1687,215.28092697360304,11.083619571804272,0.909422477822368,33.96826500941212,0.01
10,2,100,2249,57326.88644894148,43.195340252707176,-15.800221420158929,452.69649587147416,0.01
10,2,99,2226,2341.42355917698,27.60649915882875,0.3064790337328049,158.67744885538812,0.01
10,2,95,2136,1046.5841502112023,21.531655521939072,0.6602820204855608,91.35004151119507,0.01
10,2,85,1911,426.0630105620232,14.875971697314323,0.8422466050534267,51.03877514037858,0.01
10,2,75,1687,207.06317025837777,10.852648827186789,0.9165861786173686,33.22183882102518,0.01
10,4,100,2249,33629.91233130841,38.01854441080034,-8.855584499774393,360.717605592262,0.01
10,4,99,2226,2031.894311117706,26.416441965790963,0.3977211818042022,146.1091463349418,0.01
10,4,95,2136,1010.3702799714991,20.946918046799787,0.657492055119179,90.05953201969803,0.01
10,4,85,1911,408.9539323190973,14.37418528798568,0.8544331869035264,50.82397348849594,0.01
10,4,75,1687,191.92385665936803,10.334600949235275,0.9234619897614348,32.74114010364952,0.01
10,6,100,2249,23069.68538757997,34.45469760249478,-5.760803640538633,293.04133483488516,0.01
10,6,99,2226,1991.8070613392688,26.140276277313237,0.4119958459793067,143.19137602576328,0.01
10,6,95,2136,999.8669078676652,20.774786550406713,0.6765992384118007,90.70113455338142,0.01
10,6,85,1911,381.8815393190173,14.068487099108385,0.8704960688104995,49.061541211220856,0.01
10,6,75,1687,183.06149250125117,10.239693959256233,0.9312738910522976,31.189765897684413,0.01
15,1,100,2244,470032.86313693057,76.5834681691327,-136.4562809582391,1006.5435148488598,0.01
15,1,99,2221,4137.682781512798,35.708180516555004,-0.2176117816297282,216.5254618942776,0.01
15,1,95,2131,1674.470911790023,27.270711118541808,0.4396548769807976,116.30465035947051,0.01
15,1,85,1907,683.8711656795222,18.91100136456289,0.7437654046642909,64.64695477865067,0.01
15,1,75,1683,337.65873996883136,13.87071586172618,0.8574219979589203,41.66296216171262,0.01
15,2,100,2244,445864.2109735759,69.89841710605735,-129.38840698028656,903.7185961455376,0.01
15,2,99,2221,3823.1450856011024,33.82810189592512,-0.1167607009525935,207.37734461421044,0.01
15,2,95,2131,1523.7467394499042,25.683644590120576,0.4938265369675616,110.64563248134075,0.01
15,2,85,1907,604.6826619518516,17.538940861082455,0.7581645841053725,62.339447871238974,0.01
15,2,75,1683,281.41875002999814,12.618715119673992,0.8760561523664554,38.86372808590955,0.01
15,4,100,2244,425132.2444504215,62.11582856450535,-123.32555640382948,776.8677320301122,0.01
15,4,99,2221,3108.909857150543,31.39285151562313,0.0934450901230533,185.9060281686372,0.01
15,4,95,2131,1324.7329517366295,24.21485949288941,0.554439470958177,102.4427288097688,0.01
15,4,85,1907,539.0569758263192,16.737445674647056,0.8049325033838203,57.90572509776776,0.01
15,4,75,1683,259.0087538130885,12.18657640812024,0.8962281874588319,37.06889256955022,0.01
15,6,100,2244,307181.85319042596,56.00108361105569,-88.83217648999783,688.8634706155027,0.01
15,6,99,2221,2460.657793980279,28.65453803300371,0.2598128301004259,163.0871529720445,0.01
15,6,95,2131,1149.0893974578944,22.442449293128657,0.5964238751082753,96.97060026924684,0.01
15,6,85,1907,454.703131499186,15.401021789642776,0.8306036435132295,52.31230901805279,0.01
