sliding_window,lag_price_window,percentile,data_points,mse,mae,r2,worst_avg_error
7,1,100,2252,64501.49164700977,40.783505713845344,-17.92627223998597,448.64748525576834
7,1,99,2229,1914.4005446240114,24.801109485670562,0.4332855615662805,145.840907811996
7,1,95,2139,863.148051820123,19.236694265394053,0.7107568889200993,84.36319282657887
7,1,85,1914,332.17821078787966,13.039203288713825,0.8772907020095208,46.446820346864115
7,1,75,1689,153.3692407759511,9.380869263212846,0.9385609889061178,28.61143326810445
7,2,100,2252,17570.455414700096,32.657076640941106,-4.155589647120448,286.78733513231015
7,2,99,2229,1668.314691977416,24.16977632626882,0.5082884757429489,132.23441632324014
7,2,95,2139,842.8201679256886,19.231775467717778,0.7268274622629081,82.25935997648335
7,2,85,1914,342.4690447503345,13.248639781584025,0.8776953433289627,46.4567954900588
7,2,75,1689,160.32971886983987,9.551987802563227,0.938017800776603,29.755695858952308
7,4,100,2252,15673.947666303378,34.37976155927056,-3.599109152873411,281.3722658995089
7,4,99,2229,2068.8609463019548,26.894197298588356,0.3802930687741255,148.08657918076668
7,4,95,2139,1028.652035018319,21.33153669230145,0.6698296929317029,90.39601577614036
7,4,85,1914,412.25255519984046,14.678526597865392,0.8542422940435553,49.304436122877725
7,4,75,1689,208.15337320029465,10.808215382301256,0.9202351938184676,33.016372917356435
7,6,100,2252,796.1315123001777,16.330803730017763,0.7663960730848706,91.45238938053097
7,6,99,2229,592.9755878869448,15.062359802602064,0.8190591011016984,75.70357142857144
7,6,95,2139,348.7560739130435,12.3622487143525,0.8888370965369763,53.072803738317766
7,6,85,1914,138.96889273772206,8.48014106583072,0.9511315476120377,29.91270833333333
7,6,75,1689,65.14455660153936,6.139911190053286,0.973245006086744,18.68905882352941
10,1,100,2249,459024.45893388113,59.678104578242966,-133.52174058373694,775.2075833605634
10,1,99,2226,2456.568785015974,28.11183046212989,0.284324973813746,164.79124673514227
10,1,95,2136,1120.5452255709947,21.824719230676386,0.6203536407827248,96.04940235464139
10,1,85,1911,429.1006187043967,14.731371560068732,0.8406692306844721,52.93340018985813
10,1,75,1687,196.76545093437173,10.555142836175172,0.9182528454557137,32.73313843633871
10,2,100,2249,11614.42131938369,32.754920520610405,-2.4037231379459167,262.8459765844232
10,2,99,2226,1805.8658350479795,25.617908755141148,0.4629519515263101,135.69550529131718
10,2,95,2136,938.4038886517585,20.582500419856267,0.6892889899051338,83.60009617524327
10,2,85,1911,408.11382007005346,14.442217941807534,0.8499560603285893,50.2371747540361
10,2,75,1687,192.68948668285756,10.425069444083245,0.9213760498777467,32.72345274161104
10,4,100,2249,40064.34555692825,36.77598579566309,-10.741259958530042,358.64891068973634
10,4,99,2226,1848.242544835269,25.094303695661274,0.4250089976179686,141.54015699612603
10,4,95,2136,890.6310995828817,19.748064207165772,0.6977519497297467,84.92937303810149
10,4,85,1911,350.79272732367633,13.511244109870008,0.8725814651171371,46.604346827872156
10,4,75,1687,168.51472773382062,9.841140476328768,0.9313588647890693,29.72289039565293
10,6,100,2249,11399.016574336112,30.372383000936757,-2.340596608041396,233.22912308532253
10,6,99,2226,1599.2339831880388,24.294309163019857,0.5239342261326876,126.46330041078257
10,6,95,2136,847.2080510225298,19.640729616322716,0.723077559263466,81.29920494872292
10,6,85,1911,361.85553518101807,13.79932631416609,0.870241429598201,46.87418367461449
10,6,75,1687,179.1138781470908,10.143879090968513,0.9289931952258816,30.76030620718024
15,1,100,2244,387781.3116221693,65.04197806548288,-112.40265990117179,842.168543779992
15,1,99,2221,3143.901991498052,31.16429868444763,0.07786031493141654,189.22211102543693
15,1,95,2131,1345.3847418717673,23.833483496858037,0.5525272642641004,105.609676315887
15,1,85,1907,528.0033712396776,16.166278320061963,0.8034035167825846,57.87307350931505
15,1,75,1683,241.89829943939685,11.48644601924231,0.8938482565363188,37.12063801608132
15,2,100,2244,712135.3968399907,71.44276336647076,-207.25667919272308,986.3657164775874
15,2,99,2221,2893.083909536477,29.98918310678126,0.15635224934234115,181.47454750503942
15,2,95,2131,1237.4330550667264,22.92737448727968,0.584193091513896,100.15769997969932
15,2,85,1907,474.6357836257615,15.462039113229327,0.8199311119044124,55.554773205719584
15,2,75,1683,216.02189019544053,11.045588088200784,0.9061837058584922,34.2601216874558
15,4,100,2244,318162.85100837686,50.784025618850144,-92.04345646559892,584.4576416105606
15,4,99,2221,2334.7906486235447,28.413597195739232,0.30210229559925494,157.3189393192168
15,4,95,2131,1149.3406354703768,22.485049266403728,0.6254366567621698,94.60671228200022
15,4,85,1907,473.89270470294844,15.522992685778718,0.8228893630213969,54.56143419214387
15,4,75,1683,226.28153301614756,11.220128592518401,0.9087883089985151,35.4715702570246
15,6,100,2244,670292.141620174,62.88606145809431,-195.02004916792657,846.8397301729996
15,6,99,2221,1979.1628042264163,26.61373667676474,0.4037879398561547,142.3617698560789
15,6,95,2131,1015.6870258221829,21.315547819058974,0.6502516365387523,89.49846060344005
15,6,85,1907,424.081416807206,14.843521294583736,0.8498955323717072,50.547565021656986
15,6,75,1683,207.2144130804163,10.833610175517673,0.9164075439317888,33.491560504144644
30,1,100,2229,314096.11220681766,60.0951332736857,-90.26479535495601,806.5287082803954
30,1,99,2206,2098.2091540206725,26.299139571884652,0.3852881044903186,150.57997508076173
30,1,95,2117,1001.6413822354078,20.6050244400761,0.6593607503936707,90.88881877775367
30,1,85,1894,387.46337863242604,13.92290787907609,0.848443252263851,50.194915587559116
30,1,75,1672,176.6482354668416,9.92696024958803,0.921065916094163,31.70222029756099
30,2,100,2229,282002.9342333893,60.005193839811255,-80.93969642438876,783.9022620406773
30,2,99,2206,2275.263467427152,27.568619928865765,0.33358139877517745,155.8878270582388
30,2,95,2117,1100.1674331673426,21.707380122996433,0.6203073086138733,95.655921535807
30,2,85,1894,426.41040836451646,14.736719866041637,0.8323213448149118,51.92455375249598
30,2,75,1672,202.25976411640409,10.643823139649422,0.9073995339207217,33.50635557544327
30,4,100,2229,333575.35329788347,60.21733298805799,-95.92474746119345,773.4186014440718
30,4,99,2206,2520.9603714942014,28.813675886521946,0.2630781371803742,166.20637198518207
30,4,95,2117,1183.4392772746155,22.485381137763444,0.6043304561581606,98.15629217388147
30,4,85,1894,464.32581554224953,15.256278273015765,0.8230436811658963,54.398125752689445
30,4,75,1672,215.82618735315938,10.922358738730747,0.9041236523672166,34.96486691869422
30,6,100,2229,436740.43311399285,73.90059741623654,-125.90073102572532,1021.7849328756095
30,6,99,2206,3368.1614914029788,31.42122128292198,0.014296313661436355,196.86202136370312
30,6,95,2117,1344.9343148426667,23.752725157639574,0.5553626982939402,107.67995253651398
30,6,85,1894,501.0587980927071,15.937968560982313,0.8076615129811286,56.547980969065584
30,6,75,1672,235.99206359123124,11.487160353661935,0.891738729908896,35.261859411153836
90,1,100,2169,24312.649922462635,27.960812950976766,-5.878412502749394,258.37966045777836
90,1,99,2147,959.7600333622253,19.274893723948743,0.7265796997358489,96.42668576038135
90,1,95,2060,532.3932044887558,15.76874771882076,0.8320009573927478,63.062665180361066
90,1,85,1843,238.41389068976113,11.25079936272635,0.9142475684109825,37.58729376625527
90,1,75,1627,116.32262411371562,8.255374102360253,0.9485613824129999,25.096782195475797
90,2,100,2169,29090.57709276846,29.17609393503372,-7.230159601081683,281.3175998386958
90,2,99,2147,993.2166259379591,19.433830617902945,0.7173739179456124,98.36282749601177
90,2,95,2060,539.970111088228,15.834625904208883,0.831707877660129,63.63718001696495
90,2,85,1843,238.23247877552953,11.238933314457306,0.9145021806308465,37.90192379715707
90,2,75,1627,113.9694605510623,8.212183063891,0.9525427691384863,24.798307196764686
