sliding_window,lag_price_window,percentile,data_points,mse,mae,r2,worst_avg_error
7,1,100,2252,869.044446716306,18.141844522972622,0.7450016834151263,93.4264989581012
7,1,99,2229,683.9089061831395,16.941329099445653,0.791555457019166,78.97757200207374
7,1,95,2139,414.46343035071465,14.16467484033142,0.8610557325274911,54.74538229638766
7,1,85,1914,189.66872596599106,10.240013313600643,0.9271166987861552,32.72059856987757
7,1,75,1689,98.72677855774337,7.6963226544990695,0.9538689418242697,22.138637102512114
7,2,100,2252,1371.7810566230835,20.78172437772059,0.5974868011830282,121.03324662360484
7,2,99,2229,912.4938239008516,18.857586015657127,0.7203982148992912,93.8026560020113
7,2,95,2139,525.6696131871495,15.485594404001601,0.8236634637324454,64.50553820053526
7,2,85,1914,219.82476157693358,10.847698749069446,0.9179730525975438,36.199901815265264
7,2,75,1689,108.58875674082294,7.998565533669054,0.9536203488952603,23.840055991787292
7,4,100,2252,1579.6122939827117,20.797165286434637,0.5365041715135046,129.5283347711535
7,4,99,2229,923.9976528335662,18.546989044597026,0.7189531233175084,96.2964505995473
7,4,95,2139,510.5046687019986,15.05306890879404,0.8354935380320919,64.8070683321707
7,4,85,1914,199.46660915510384,10.341778802572229,0.9267392114649139,35.455412924013565
7,4,75,1689,96.02799214606574,7.600504156786946,0.9609598969971604,22.17013565490639
7,6,100,2252,796.1315123001777,16.330803730017763,0.7663960730848706,91.45238938053097
7,6,99,2229,592.9755878869448,15.062359802602064,0.8190591011016984,75.70357142857144
7,6,95,2139,348.7560739130435,12.3622487143525,0.8888370965369763,53.072803738317766
7,6,85,1914,138.96889273772206,8.48014106583072,0.9511315476120377,29.91270833333333
7,6,75,1689,65.14455660153936,6.139911190053286,0.973245006086744,18.68905882352941
10,1,100,2249,767.9041036359456,17.230806812820312,0.7749579687705024,86.79464064284059
10,1,99,2226,603.0688481241561,16.098099756719378,0.8169850966590295,72.79034374843214
10,1,95,2136,374.49913937890244,13.550697626119803,0.8728793443193369,51.984746452424105
10,1,85,1911,173.40231481596757,9.846688544316036,0.9332150251228034,31.110708078745358
10,1,75,1687,89.90395690070113,7.415075134514142,0.9601121606842297,20.991604052919254
10,2,100,2249,902.2010961634746,17.9657760826656,0.7356008825883769,96.17787591653158
10,2,99,2226,667.0810603851853,16.61812627668928,0.7974214845953453,78.830446638027
10,2,95,2136,398.29045562194256,13.828150951005082,0.8674636943133576,54.25861692850331
10,2,85,1911,178.52000591709293,9.940468082155052,0.928446584628874,31.8325516807363
10,2,75,1687,92.24254073785052,7.463501806434479,0.959552804109741,21.505040864228235
10,4,100,2249,1610.5008226256243,21.84913723854135,0.5280265143728528,131.01464406849814
10,4,99,2226,1023.4981351927164,19.706162793660923,0.6888779373944723,100.28787836551088
10,4,95,2136,577.2550188242388,16.07399572553334,0.8079884716111599,66.80911939737008
10,4,85,1911,237.02480168806193,11.134315229964347,0.9139436171492039,38.48397229682603
10,4,75,1687,113.83254576987726,8.124059629320245,0.950262759605852,24.39621172047784
10,6,100,2249,1321.2321570741508,20.665199938785918,0.6127996100738907,118.58703074531668
10,6,99,2226,902.5519834515663,18.84564712779346,0.727069933433566,93.40643279152235
10,6,95,2136,519.1135097836485,15.484878365219448,0.8326930004377919,63.801772598275626
10,6,85,1911,216.84073964396885,10.874155183369577,0.9220758900661712,36.58918239248968
10,6,75,1687,107.59637583317658,8.08130645179885,0.9572460738699815,23.3276618372186
15,1,100,2244,732.3448200667665,17.156942707492362,0.7858332826484038,82.65204951621651
15,1,99,2221,576.893826288262,16.069599747624512,0.8240246563595263,69.78597984345001
15,1,95,2131,375.3055412557746,13.683950183144248,0.8676100579165884,51.77722458881864
15,1,85,1907,174.87518744937103,10.007567995497904,0.930988927352661,30.638750019147142
15,1,75,1683,95.77323698655167,7.671699637087282,0.9557742930557893,21.188736170521285
15,2,100,2244,818.7236092369475,17.744947890609968,0.7605726933488213,87.92062727750172
15,2,99,2221,613.7333563968076,16.503529242775926,0.8149198838714423,71.95389703034769
