sliding_window,lag_price_window,percentile,data_points,mse,mae,r2,worst_avg_error
7,1,100,2252,803.7440519848644,17.771640682038022,0.7641623728272308,88.1921194429068
7,1,99,2229,630.7641929397863,16.613651360934817,0.8060258486710605,73.96625401110474
7,1,95,2139,397.96487447011714,14.051437736746681,0.864764826640034,52.2872814321464
7,1,85,1914,191.14201622216746,10.310353209649431,0.9226453019917619,32.59993224085316
7,1,75,1689,101.26363208630553,7.790236514140517,0.9512539967329601,22.061077189302594
7,2,100,2252,864.0270961880674,18.27307978108921,0.7464738934306798,92.09960882733644
7,2,99,2229,663.7166200946157,17.023369211518727,0.7988098070558706,76.23684020492283
7,2,95,2139,414.8522744540977,14.372940565462315,0.8573488559709338,53.04772369089092
7,2,85,1914,200.05222209585904,10.560425646776597,0.9204001793426264,33.29049512350114
7,2,75,1689,106.59639455434291,7.993980869533056,0.9503543163250434,22.85273097192238
7,4,100,2252,885.1189446417806,18.267356175786606,0.7402850432864987,92.25401145117876
7,4,99,2229,646.490442006651,16.91208462224489,0.8009247389638641,74.11611876139428
7,4,95,2139,413.6491374844426,14.35875774375327,0.8644543177299483,53.05137478106363
7,4,85,1914,197.69436158749215,10.530225690598803,0.9260021028791071,33.27915248290858
7,4,75,1689,104.05154548658253,7.961267306225444,0.9552528553745607,22.66790579201016
7,6,100,2252,796.1315123001777,16.330803730017763,0.7663960730848706,91.45238938053097
7,6,99,2229,592.9755878869448,15.062359802602064,0.8190591011016984,75.70357142857144
7,6,95,2139,348.7560739130435,12.3622487143525,0.8888370965369763,53.072803738317766
7,6,85,1914,138.96889273772206,8.48014106583072,0.9511315476120377,29.91270833333333
7,6,75,1689,65.14455660153936,6.139911190053286,0.973245006086744,18.68905882352941
10,1,100,2249,806.033594627308,17.785487418611474,0.7637837374285755,86.95866127084187
10,1,99,2226,631.7978368881962,16.624210689630985,0.8057810616691689,72.77457449356864
10,1,95,2136,410.7460461530407,14.126045168938235,0.8568996084936666,53.993012783719976
10,1,85,1911,189.07859655332985,10.217726563807979,0.9223066702823605,32.55554911125617
10,1,75,1687,98.1185205113055,7.672141717929739,0.9544197694385955,22.381750211574722
10,2,100,2249,799.1638865410788,17.627963751848892,0.7657969745689407,87.27768525980156
10,2,99,2226,627.4527414440252,16.472322925686875,0.8038020432252303,73.05414064555987
10,2,95,2136,400.2405989754522,13.943310881812069,0.8579921151804123,53.11078275770987
10,2,85,1911,185.09326180506469,10.093007415982886,0.9223056227319335,32.316237492328014
10,2,75,1687,95.4603263769643,7.562822495625602,0.9548646847464429,21.9856960012648
10,4,100,2249,872.1307644666498,18.05850086463908,0.7444132961342307,92.40453240443654
10,4,99,2226,643.1721506650788,16.72789266524082,0.8009003249300959,74.68058695753481
10,4,95,2136,402.3877280840411,14.125400881494363,0.8626349271479526,52.38562417643242
10,4,85,1911,192.24976547670906,10.343581233208454,0.9216392993024075,32.64356787785571
10,4,75,1687,102.30237789003321,7.82724874206214,0.949826928247848,22.1811685591874
10,6,100,2249,875.863484073282,18.32533125938071,0.7433193850608176,92.66180564640422
10,6,99,2226,654.4914785719978,17.003538680716982,0.8017713335312904,75.0770395855801
10,6,95,2136,411.7054814120902,14.392736874673945,0.8603447392125078,52.831895993029285
10,6,85,1911,201.12855663047992,10.628736457598807,0.9219626960115122,32.966390247855976
10,6,75,1687,108.7770564307317,8.08677379338096,0.9511925784235866,23.01062539230701
15,1,100,2244,823.9678872532457,18.314243517237916,0.7590390581310186,86.13399279818755
15,1,99,2221,653.3250067167704,17.179012163764046,0.8006517349075465,72.52010366847017
15,1,95,2131,436.33904321987484,14.717982762311914,0.8468085016819388,54.54867932771084
15,1,85,1907,208.80002795592665,10.785456295192246,0.914440460367011,33.66785029289672
15,1,75,1683,112.44224033089881,8.180115601066698,0.9461594674099577,23.300070886804505
15,2,100,2244,835.4977502613557,18.426597769804278,0.7556672681704706,87.17262530353732
15,2,99,2221,663.0711414587475,17.285237748080636,0.7958333116304505,73.53375592376824
15,2,95,2131,439.15209426297747,14.781219491384837,0.8425170579091312,54.72781122533529
15,2,85,1907,210.96651844748035,10.849126041425336,0.9158027958090893,33.476111343346865
15,2,75,1683,114.78990519590387,8.247503899242645,0.9461437814553427,23.75533796519886
15,4,100,2244,853.1822544978335,18.37432741028034,0.7504956166252714,89.60573872615089
15,4,99,2221,664.9724437074065,17.17059197702259,0.7956048267575351,74.76735193681793
15,4,95,2131,430.04542197219496,14.59715731234821,0.8486217025263552,54.64697642397448
15,4,85,1907,204.5166490585041,10.687380398860569,0.9190978912338573,33.01571678320212
15,4,75,1683,110.32388103220595,8.109978695854945,0.9500213957575143,23.576415140295932
15,6,100,2244,843.4476268124637,18.044119928087873,0.7533424084627908,89.9951746910164
15,6,99,2221,649.4815289310525,16.807216967064615,0.7982198981619935,74.16641224672786
15,6,95,2131,413.2417349951825,14.228789478434695,0.8567747062927843,53.67313324206077
15,6,85,1907,193.63573670831735,10.35074816814423,0.9217652645240909,32.71478420255921
15,6,75,1683,101.13343123069872,7.782487075903559,0.9519800303802852,22.76585154694319
30,1,100,2229,895.4044267968446,19.42764574525247,0.7398283563671504,88.44499281966334
30,1,99,2206,709.1715394627138,18.23146148132036,0.7775999025680285,73.61913604919901
30,1,95,2117,486.5416283175222,15.776279249109802,0.8306358436164463,55.96063410922686
30,1,85,1894,247.30347009905964,11.7792374499811,0.8963803901224209,36.845123972918636
30,1,75,1672,134.80077745756518,8.981318138416746,0.9328890940338062,25.642753172143436
30,2,100,2229,897.4260514466091,19.44375601566328,0.739240946485987,88.62265518442675
30,2,99,2206,713.4736015609575,18.25618081949882,0.7801486328567244,74.05378204251942
30,2,95,2117,488.3101267051241,15.783842597193036,0.8256998444473734,56.18326454394802
30,2,85,1894,246.5959559294247,11.762373868630462,0.8971371092645953,36.81750390138974
30,2,75,1672,134.33326888111245,8.967428117235471,0.9336172923255708,25.44571356964562
30,4,100,2229,900.2602621443259,19.435258033252808,0.7384174289406644,88.73322444817293
30,4,99,2206,710.4713757152078,18.223473630183058,0.7816300206701696,73.75112386646607
30,4,95,2117,489.13523684477974,15.769045355656656,0.8249449249928644,56.315031141371755
30,4,85,1894,244.3669538773665,11.711984640186143,0.8957605476526679,36.35417580819751
30,4,75,1672,133.23031801449633,8.92759758225738,0.9351560721363166,25.11723304205663
30,6,100,2229,891.6372212700902,19.345008463383618,0.7409229679465288,88.36708020928747
30,6,99,2206,704.3848718889349,18.140965026016946,0.7833764814268963,73.35757972900208
30,6,95,2117,484.6945817858625,15.693392008238964,0.8300362927773994,55.72792358991787
30,6,85,1894,241.52043034374216,11.642775631858825,0.8996937292758662,36.03509344753833
30,6,75,1672,132.53679304738534,8.88782593750846,0.9358953137840212,25.220768690344954
90,1,100,2169,1020.5420365151691,21.93241848593701,0.7112733854214013,89.90078131952714
90,1,99,2147,838.5313904667844,20.78600415833336,0.7355697117309635,76.42275322035805
90,1,95,2060,608.1693795508895,18.336034238916948,0.784518630126109,59.28561384823392
90,1,85,1843,343.76758933027264,14.262798128262071,0.8653180394660652,40.33663190061901
90,1,75,1627,202.05223989404942,11.184894362923854,0.9102236549659655,30.48316645208142
90,2,100,2169,1020.2397963967134,21.919504775784453,0.7113588936739468,89.98718448979756
90,2,99,2147,838.7802651538005,20.773767549827152,0.7376322234146917,76.50279734197233
90,2,95,2060,607.4742453415328,18.317865412275992,0.7851201166852724,59.147147439119735
90,2,85,1843,343.58330606400233,14.247239733555093,0.8670021225868773,40.384410183188855
90,2,75,1627,201.41033167066297,11.161670626707155,0.909793267274202,30.474830824596093
90,4,100,2169,1013.4976625445465,21.832031374266414,0.7132663442370014,89.62289985331354
90,4,99,2147,833.8768347186748,20.692310355269246,0.7391660007272383,76.26434518758117
90,4,95,2060,604.2461198950692,18.24503881882169,0.7862619909697885,59.134754056632985
90,4,85,1843,341.00012565782987,14.176416867031847,0.8679400051033032,40.37575740172753
90,4,75,1627,199.27299984959978,11.092571387008176,0.9095490697080733,30.239379133070486
90,6,100,2169,1007.0049918948818,21.75647476775029,0.7151032179268425,89.2579528041493
90,6,99,2147,827.9989891537841,20.618923091721943,0.7426833247818618,75.94895204771072
90,6,95,2060,600.5895775224504,18.184794619222384,0.7873416055025927,59.05704389919169
90,6,85,1843,338.05714120160206,14.12024990477739,0.8690981031341378,40.29733391001015
90,6,75,1627,197.06652040134713,11.044326967253316,0.9091919795872785,30.0583182818324
