Datetime,MarginalES,SMA_7,EMA_7,BB_Middle,BB_Upper,BB_Lower,ROC_7,RSI_7
2018-01-08 15:00:00,68.92,52.43285714285714,49.012934570312495,52.43285714285714,66.8791545994403,37.98655968627398,1278.4,88.37734804755617
2018-01-09 15:00:00,55.14,53.50428571428572,50.54470092773437,53.50428571428572,67.47442880443276,39.53414262413868,15.74307304785894,66.14283247404407
2018-01-10 15:00:00,47.1,52.98142857142857,49.683525695800775,52.98142857142857,67.58296832808799,38.37988881476915,-7.210401891252949,56.47181679971733
2018-01-11 15:00:00,54.74,54.29,50.94764427185058,54.29,67.58733807948039,40.9926619205196,20.09653356735411,62.543397595699815
2018-01-12 15:00:00,61.59,55.667142857142856,53.608233203887934,55.667142857142856,69.68697254547342,41.64731316881229,18.556304138594804,67.31269452829895
2018-01-13 15:00:00,58.7,57.16857142857143,54.88117490291595,57.16857142857143,69.85113281282285,44.48601004432001,21.809504046482683,63.342814362622526
2018-01-14 15:00:00,58.53,57.81714285714286,55.793381177186966,57.81714285714286,70.24495826928857,45.38932744499715,8.408964623078347,63.08747285351705
2018-01-15 15:00:00,58.7,56.35714285714287,56.52003588289023,56.35714285714287,65.07078873529257,47.64349697899317,-14.828786999419616,63.260258218453586
2018-01-16 15:00:00,54.5,56.26571428571429,56.01502691216767,56.26571428571429,65.04173262885732,47.48969594257126,-1.1606819006166134,55.73977807152243
2018-01-17 15:00:00,54.83,57.370000000000005,55.71877018412575,57.370000000000005,62.401171405774704,52.338828594225305,16.411889596602965,56.216903454524605
2018-01-18 15:00:00,59.9,58.107142857142854,56.764077638094314,58.107142857142854,62.88671503507687,53.32757067920884,9.426379247351107,63.30687433785109
2018-01-19 15:00:00,54.83,57.14142857142857,56.28055822857073,57.14142857142857,61.421527750138225,52.861329392718915,-10.97580776100017,53.24724633959498
2018-01-20 15:00:00,47.0,55.470000000000006,53.96041867142805,55.470000000000006,63.50287530802546,47.43712469197455,-19.93185689948893,41.39544851841419
2018-01-21 15:00:00,45.66,53.631428571428565,51.88531400357104,53.631428571428565,63.66373312690718,43.59912401594995,-21.988723731419793,39.634097634097394
2018-01-22 15:00:00,55.69,53.201428571428565,52.83648550267828,53.201428571428565,62.5635249701841,43.83933217267303,-5.127768313458271,55.98761336326101
2018-01-23 15:00:00,59.34,53.892857142857146,54.46236412700871,53.892857142857146,64.20331626682142,43.58239801889287,8.880733944954136,60.52757295891844
2018-01-24 15:00:00,53.56,53.71142857142858,54.23677309525654,53.71142857142858,63.99419878500943,43.42865835784772,-2.3162502279773776,50.839074626832954
2018-01-25 15:00:00,55.69,53.11000000000001,54.60007982144241,53.11000000000001,62.31003726700524,43.90996273299477,-7.028380634390653,54.00439790670296
2018-01-26 15:00:00,48.96,52.271428571428565,53.1900598660818,52.271428571428565,61.757143717727985,42.785713425129146,-10.705817982856097,43.645380610054
2018-01-27 15:00:00,46.95,52.26428571428571,51.630044899561355,52.26428571428571,61.765929825508046,42.76264160306338,-0.1063829787233982,40.9110097848217
2018-01-28 15:00:00,50.66,52.978571428571435,51.38753367467102,52.978571428571435,61.02763120380641,44.92951165333646,10.950503723171266,47.93508184509359
2018-01-29 15:00:00,54.23,52.769999999999996,52.098150256003265,52.769999999999996,60.59989144241473,44.94010855758526,-2.621655593463819,54.065156047802596
2018-01-30 15:00:00,58.19,52.60571428571428,53.62111269200245,52.60571428571428,59.90777549876797,45.30365307266059,-1.9379844961240404,60.13874345312608
2018-01-31 15:00:00,58.39,53.29571428571428,54.813334519001835,53.29571428571428,61.663160437440645,44.92826813398792,9.017923823749063,60.44689561243563
2018-02-01 15:00:00,46.88,52.037142857142854,52.83000088925138,52.037142857142854,61.198101723273524,42.876183991012184,-15.819716286586452,39.79265397890872
2018-02-02 15:00:00,45.2,51.5,50.92250066693853,51.5,61.70150129007627,41.29849870992373,-7.6797385620915,37.60460504043336
2018-02-03 15:00:00,44.35,51.12857142857143,49.2793755002039,51.12857142857143,62.12410001884808,40.133042838294784,-5.537806176783815,36.422436087541556
2018-02-04 15:00:00,57.98,52.17428571428571,51.454531625152924,52.17428571428571,64.14199874151193,40.20657268705949,14.449269640742205,59.96664918129824
2018-02-05 15:00:00,57.5,52.64142857142857,52.96589871886469,52.64142857142857,65.13726755233473,40.145589590522405,6.029872764152689,59.067929575023165
2018-02-06 15:00:00,52.91,51.88714285714286,52.95192403914852,51.88714285714286,63.56271792054868,40.211567793737046,-9.073724007561438,50.606579621458046
2018-02-07 15:00:00,53.46,51.18285714285714,53.07894302936139,51.18285714285714,61.74621545238681,40.61949883332747,-8.443226579893818,51.57629157357565
2018-02-08 15:00:00,62.62,53.43142857142857,55.46420727202104,53.43142857142857,65.90251709567502,40.96034004718212,33.57508532423207,64.94753478310334
2018-02-09 15:00:00,65.0,56.26,57.84815545401578,56.26,68.9596917847864,43.56030821521359,43.805309734513266,67.65492110334395
2018-02-10 15:00:00,46.99,56.637142857142855,55.133616590511835,56.637142857142855,67.98446331761515,45.289822396670566,5.952649379932358,40.225499335841256
2018-02-11 15:00:00,47.31,55.112857142857145,53.17771244288387,55.112857142857145,68.08009372162734,42.145620564086954,-18.402897550879604,40.72367395086732
2018-02-12 15:00:00,59.92,55.45857142857143,54.863284332162905,55.45857142857143,68.78598004420873,42.131162812934136,4.208695652173916,57.14420206104854
2018-02-13 15:00:00,45.56,54.40857142857143,52.53746324912218,54.40857142857143,69.42482330472757,39.39231955241528,-13.891513891513881,41.77093473436261
