sliding_window,lag_price_window,mae_baseline,mse_baseline,r2_baseline,worst_avg_error_baseline,model,fe_status_baseline,mae_fe,mse_fe,r2_fe,worst_avg_error_fe,fe_status_fe,mae_improvement,mse_improvement,r2_improvement,worst_error_improvement
7,1,17.904767214688842,775.9611020338982,0.7660347086553381,84.76635536534317,Regression,Baseline,45.28546933695464,13652.14798171572,-3.0134563617327776,386.0996933823808,Feature Engineering,-152.92408884156293,-1659.3856117183718,-493.3837889698836,-355.4869579071676
7,2,23.74291321951949,1480.6675069003488,0.5577998258013541,121.32214521178716,Regression,Baseline,41.4290912364061,13075.794788353567,-2.8184474023563895,362.2648773901609,Feature Engineering,-74.49034519633621,-783.1013531003074,-605.2793622348864,-198.5974875054919
7,4,22.807520724440035,1379.531459080181,0.5898355790022128,116.1601878322957,Regression,Baseline,25.063668879765643,2128.840515982022,0.3776912659648832,151.68735958346116,Feature Engineering,-9.892123666506064,-54.31619931316766,-35.966686410507926,-30.584636969128532
7,6,15.062359802602064,592.9755878869448,0.8190591011016984,75.70357142857144,Regression,Baseline,15.062359802602064,592.9755878869448,0.8190591011016984,75.70357142857144,Feature Engineering,0.0,0.0,0.0,0.0
10,1,16.033917137034102,614.071812534636,0.8108959286680726,73.9245828322591,Regression,Baseline,59.49235148005238,34793.418940564035,-9.164377125870692,582.847254958112,Feature Engineering,-271.0406569498903,-5566.017920111184,-1230.1545367139197,-688.4349598301284
10,2,17.797488077376045,781.7826269395239,0.7624402677085174,85.89672854108684,Regression,Baseline,58.87258753393432,34574.15497996713,-9.094315734193088,600.0450692756962,Feature Engineering,-230.79155484178946,-4322.476758701581,-1292.7905856186842,-598.5656840105122
10,4,36.83828351094098,4215.7634645331655,-0.2620930031640285,215.7861683581353,Regression,Baseline,41.9620963521475,10830.138183475205,-2.158425580278663,344.24003962901503,Feature Engineering,-13.908934816913337,-156.89624843965208,-723.5342241959173,-59.52831557659793
10,6,21.562116845798,1121.4050494198143,0.6578330692375032,100.4635398336036,Regression,Baseline,28.413514311896183,2976.3649196004135,0.1306210696258909,184.13564503397788,Feature Engineering,-31.775161572011317,-165.41390384681316,-80.14373619476225,-83.28604122347197
15,1,15.60451803158525,562.8215876836545,0.8260289081624813,69.40152713146584,Regression,Baseline,52.65918824729281,12210.9452851658,-2.5547355215045093,377.879363952905,Feature Engineering,-237.46116439293323,-2069.5943354662536,-409.27919062633924,-444.48277951736725
15,2,16.69533415130418,642.8478655272438,0.8061794632298545,74.07056320959653,Regression,Baseline,56.98398032962064,17318.938326588708,-4.036497299141536,452.44042426440825,Feature Engineering,-241.31680032992486,-2594.095952606804,-600.694632305545,-510.8235237582079
15,4,19.663615571201166,924.4983342651584,0.7196395293283719,91.27093740697252,Regression,Baseline,58.84068031923807,26206.122595585555,-6.628718757955939,522.5460987621221,Feature Engineering,-199.23632358544802,-2734.6316725833376,-1021.1165434648116,-472.5218931762642
15,6,31.521035026602476,2710.5345294291574,0.1835481466918753,166.19652879021868,Regression,Baseline,46.68316110864428,14838.172661700051,-3.332796997943336,383.1005365355139,Feature Engineering,-48.10161236534772,-447.4260704151588,-1915.76172683353,-130.5105523708513
30,1,15.19588273837566,519.7771674951829,0.842019617274882,66.47275422471822,Regression,Baseline,82.428091637768,28091.887976060498,-7.212409176105096,598.0603492210932,Feature Engineering,-442.43700781925764,-5304.602151232593,-956.5607057288506,-799.7074909808712
30,2,15.472885375363298,530.8001723986889,0.8415833104633257,66.29995320480609,Regression,Baseline,71.011266287959,17890.963135335205,-4.212727988333974,464.1053571778054,Feature Engineering,-358.94003972282184,-3270.564680581365,-600.5717123851585,-600.0085742808071
30,4,16.184176108003005,592.2773120487954,0.8213750817853478,71.56281041848302,Regression,Baseline,60.527400735401514,12440.688207648618,-2.646352735706946,375.76516580906343,Feature Engineering,-273.9912389205341,-2000.483667796426,-422.1856608986495,-425.0844169082716
30,6,17.221144126609587,697.7477862834091,0.7894557391927934,78.49744491405959,Regression,Baseline,55.147534823938635,10089.808147145586,-1.91602561069376,331.46085458396885,Feature Engineering,-220.23153873223987,-1346.0537669190594,-342.70209405949305,-322.2568708406473
90,1,15.817626268328755,544.7621995938439,0.8388248718236753,67.36710691731855,Regression,Baseline,22.915601700439108,1334.7930683288912,0.6162118547818358,113.73128859492516,Feature Engineering,-44.8738344913513,-145.02307049278883,-26.538676250486017,-68.82317469044739
90,2,15.934068421640015,551.6262409549166,0.8375955879217204,66.84694235917857,Regression,Baseline,23.36679690577396,1391.4297687652283,0.6018118522287399,116.26070734133889,Feature Engineering,-46.64677148015491,-152.24140286664633,-28.150068970398667,-73.92075574175524
90,4,15.977113388600191,554.0316028848042,0.8362331605292725,66.93862441057134,Regression,Baseline,24.379270901347013,1522.8376948498708,0.5627610366367127,121.11872549715062,Feature Engineering,-52.58870803747211,-174.86477069549107,-32.70285571065761,-80.93996786408842
90,6,15.771273642088662,554.7654556878242,0.8368610487114936,68.26122197614374,Regression,Baseline,25.300435355533832,1631.9689469969649,0.5280523384445373,126.85503710721036,Feature Engineering,-60.42100295574593,-194.1727770294517,-36.900834462594,-85.83762996733968
7,1,16.613651360934817,630.7641929397863,0.8060258486710605,73.96625401110474,Lasso,Baseline,16.77784599878642,646.4905735016861,0.7979675599419885,74.96084821428573,Feature Engineering,-0.988311565497819,-2.4932265873565567,-0.9997556210335117,-1.3446594213513556
7,2,17.023369211518727,663.7166200946157,0.7988098070558706,76.23684020492283,Lasso,Baseline,16.95819919246299,652.8327437182593,0.7999800828070106,74.86625,Feature Engineering,0.3828267967755861,1.6398378535111648,0.1465024265855296,1.7978056294551559
7,4,16.91208462224489,646.490442006651,0.8009247389638641,74.11611876139428,Lasso,Baseline,16.869828024525198,636.5763902995863,0.8038181736956687,72.86479166666666,Feature Engineering,0.2498603730028131,1.5335186822395133,0.3612617504545748,1.6883332743799953
7,6,15.062359802602064,592.9755878869448,0.8190591011016984,75.70357142857144,Lasso,Baseline,15.062359802602064,592.9755878869448,0.8190591011016984,75.70357142857144,Feature Engineering,0.0,0.0,0.0,0.0
10,1,15.993135324567296,609.5030030479741,0.8123028984351778,73.63943092677285,Lasso,Baseline,17.06083707696915,675.0048661558684,0.7881242720550918,75.97768849206349,Feature Engineering,-6.676000238438185,-10.746766263715795,-2.9765530107874425,-3.1752792435560964
