Model,MAE_Improvement_Mean,MAE_Improvement_Std,MSE_Improvement_Mean,MSE_Improvement_Std,R2_Improvement_Mean,R2_Improvement_Std,Worst_Error_Improvement_Mean,Worst_Error_Improvement_Std,Configs_Improved_MAE,Configs_Improved_MSE,Configs_Improved_R2,Configs_Improved_Worst,Total_Configs
Regression,-150.55344543591204,129.58120052272594,-1657.0681156958228,1800.895108508667,-542.7208811017538,525.7151137907753,-301.4700856559709,251.18574802347837,0,0,0,0,20
Lasso,-5.90668904212532,6.272803406473647,-9.269062451305896,8.490016670966963,-1.9899772330531746,1.5740989460210197,-2.8571054355712695,3.761271225906713,2,3,3,3,20
Random Forest,5.330808593127509,2.8979725728466494,12.385239333001227,5.961544344817901,3.460487266702935,1.7018798776553588,7.072827857708022,3.833940157125181,19,19,19,19,20
