sliding_window,lag_price_window,mae,mse,r2,worst_avg_error,model,fe_status
7,1,17.904767214688842,775.9611020338982,0.7660347086553381,84.76635536534317,Regression,Baseline
7,2,23.74291321951949,1480.6675069003488,0.5577998258013541,121.32214521178716,Regression,Baseline
7,4,22.807520724440035,1379.531459080181,0.5898355790022128,116.1601878322957,Regression,Baseline
7,6,15.062359802602064,592.9755878869448,0.8190591011016984,75.70357142857144,Regression,Baseline
10,1,16.033917137034102,614.071812534636,0.8108959286680726,73.9245828322591,Regression,Baseline
10,2,17.797488077376045,781.7826269395239,0.7624402677085174,85.89672854108684,Regression,Baseline
10,4,36.83828351094098,4215.7634645331655,-0.2620930031640285,215.7861683581353,Regression,Baseline
10,6,21.562116845798,1121.4050494198143,0.6578330692375032,100.4635398336036,Regression,Baseline
15,1,15.60451803158525,562.8215876836545,0.8260289081624813,69.40152713146584,Regression,Baseline
15,2,16.69533415130418,642.8478655272438,0.8061794632298545,74.07056320959653,Regression,Baseline
15,4,19.663615571201166,924.4983342651584,0.7196395293283719,91.27093740697252,Regression,Baseline
15,6,31.521035026602476,2710.5345294291574,0.1835481466918753,166.19652879021868,Regression,Baseline
30,1,15.19588273837566,519.7771674951829,0.842019617274882,66.47275422471822,Regression,Baseline
30,2,15.472885375363298,530.8001723986889,0.8415833104633257,66.29995320480609,Regression,Baseline
30,4,16.184176108003005,592.2773120487954,0.8213750817853478,71.56281041848302,Regression,Baseline
30,6,17.221144126609587,697.7477862834091,0.7894557391927934,78.49744491405959,Regression,Baseline
90,1,15.817626268328755,544.7621995938439,0.8388248718236753,67.36710691731855,Regression,Baseline
90,2,15.934068421640015,551.6262409549166,0.8375955879217204,66.84694235917857,Regression,Baseline
90,4,15.977113388600191,554.0316028848042,0.8362331605292725,66.93862441057134,Regression,Baseline
90,6,15.771273642088662,554.7654556878242,0.8368610487114936,68.26122197614374,Regression,Baseline
7,1,45.28546933695464,13652.14798171572,-3.0134563617327776,386.0996933823808,Regression,Feature Engineering
7,2,41.4290912364061,13075.794788353567,-2.8184474023563895,362.2648773901609,Regression,Feature Engineering
7,4,25.063668879765643,2128.840515982022,0.3776912659648832,151.68735958346116,Regression,Feature Engineering
7,6,15.062359802602064,592.9755878869448,0.8190591011016984,75.70357142857144,Regression,Feature Engineering
10,1,59.49235148005238,34793.418940564035,-9.164377125870692,582.847254958112,Regression,Feature Engineering
10,2,58.87258753393432,34574.15497996713,-9.094315734193088,600.0450692756962,Regression,Feature Engineering
10,4,41.9620963521475,10830.138183475205,-2.158425580278663,344.24003962901503,Regression,Feature Engineering
10,6,28.413514311896183,2976.3649196004135,0.1306210696258909,184.13564503397788,Regression,Feature Engineering
15,1,52.65918824729281,12210.9452851658,-2.5547355215045093,377.879363952905,Regression,Feature Engineering
15,2,56.98398032962064,17318.938326588708,-4.036497299141536,452.44042426440825,Regression,Feature Engineering
15,4,58.84068031923807,26206.122595585555,-6.628718757955939,522.5460987621221,Regression,Feature Engineering
15,6,46.68316110864428,14838.172661700051,-3.332796997943336,383.1005365355139,Regression,Feature Engineering
30,1,82.428091637768,28091.887976060498,-7.212409176105096,598.0603492210932,Regression,Feature Engineering
30,2,71.011266287959,17890.963135335205,-4.212727988333974,464.1053571778054,Regression,Feature Engineering
30,4,60.527400735401514,12440.688207648618,-2.646352735706946,375.76516580906343,Regression,Feature Engineering
30,6,55.147534823938635,10089.808147145586,-1.91602561069376,331.46085458396885,Regression,Feature Engineering
90,1,22.915601700439108,1334.7930683288912,0.6162118547818358,113.73128859492516,Regression,Feature Engineering
90,2,23.36679690577396,1391.4297687652283,0.6018118522287399,116.26070734133889,Regression,Feature Engineering
90,4,24.379270901347013,1522.8376948498708,0.5627610366367127,121.11872549715062,Regression,Feature Engineering
90,6,25.300435355533832,1631.9689469969649,0.5280523384445373,126.85503710721036,Regression,Feature Engineering
7,1,16.613651360934817,630.7641929397863,0.8060258486710605,73.96625401110474,Lasso,Baseline
7,2,17.023369211518727,663.7166200946157,0.7988098070558706,76.23684020492283,Lasso,Baseline
7,4,16.91208462224489,646.490442006651,0.8009247389638641,74.11611876139428,Lasso,Baseline
7,6,15.062359802602064,592.9755878869448,0.8190591011016984,75.70357142857144,Lasso,Baseline
10,1,15.993135324567296,609.5030030479741,0.8123028984351778,73.63943092677285,Lasso,Baseline
10,2,16.472322925686875,627.4527414440252,0.8038020432252303,73.05414064555987,Lasso,Baseline
10,4,16.72789266524082,643.1721506650788,0.8009003249300959,74.68058695753481,Lasso,Baseline
10,6,17.003538680716982,654.4914785719978,0.8017713335312904,75.0770395855801,Lasso,Baseline
15,1,15.615692682534643,562.761010430433,0.8260476329077897,69.39612794470493,Lasso,Baseline
15,2,16.503529242775926,613.7333563968076,0.8149198838714423,71.95389703034769,Lasso,Baseline
15,4,17.17059197702259,664.9724437074065,0.7956048267575351,74.76735193681793,Lasso,Baseline
15,6,16.807216967064615,649.4815289310525,0.7982198981619935,74.16641224672786,Lasso,Baseline
30,1,15.19603808763345,519.7793054005369,0.8420189674827648,66.47271744260283,Lasso,Baseline
30,2,15.468366978726682,530.4997179506653,0.8416729807413088,66.27798754107711,Lasso,Baseline
30,4,16.24863829771467,576.2098366122467,0.8262900802259406,69.53798858971842,Lasso,Baseline
30,6,16.538307492617246,612.893351756615,0.8132178605928619,72.75775934194424,Lasso,Baseline
90,1,15.817771406180745,544.7647877447462,0.8388241060848746,67.36703264854957,Lasso,Baseline
90,2,15.938819979653042,551.5969055759009,0.8376042245575952,66.83158568827918,Lasso,Baseline
90,4,15.965215002927591,553.6025288290473,0.8363599910234977,66.91044246987974,Lasso,Baseline
90,6,15.820388631946363,552.1622933343551,0.8376374871522565,67.88096506610141,Lasso,Baseline
7,1,16.77784599878642,646.4905735016861,0.7979675599419885,74.96084821428573,Lasso,Feature Engineering
7,2,16.95819919246299,652.8327437182593,0.7999800828070106,74.86625,Lasso,Feature Engineering
7,4,16.869828024525198,636.5763902995863,0.8038181736956687,72.86479166666666,Lasso,Feature Engineering
7,6,15.062359802602064,592.9755878869448,0.8190591011016984,75.70357142857144,Lasso,Feature Engineering
10,1,17.06083707696915,675.0048661558684,0.7881242720550918,75.97768849206349,Lasso,Feature Engineering
10,2,16.738875786163522,650.6870761455526,0.7958518772822691,74.73827008928572,Lasso,Feature Engineering
10,4,16.798507216814134,647.358946380769,0.7979500627986688,74.96084821428573,Lasso,Feature Engineering
10,6,17.04293688230009,646.4581578363658,0.8022201574563981,73.46714285714286,Lasso,Feature Engineering
15,1,16.860329112028115,663.4643125681582,0.8017167788912202,77.11124611125513,Lasso,Feature Engineering
15,2,17.075869902004086,688.0903974538465,0.7920008114435566,79.0712133661226,Lasso,Feature Engineering
15,4,17.6926716057468,718.051523292687,0.7751182008618979,78.26835227272727,Lasso,Feature Engineering
15,6,17.093014157786783,676.5013690040632,0.7881098972003246,75.97768849206349,Lasso,Feature Engineering
30,1,16.937380724024873,625.333738593242,0.8119025884955342,71.64941695436292,Lasso,Feature Engineering
30,2,16.894840134187483,621.3712890389967,0.8098114941414405,71.43450512614797,Lasso,Feature Engineering
30,4,16.908172594110653,629.4132342190826,0.8066061594519403,72.66140380634405,Lasso,Feature Engineering
30,6,16.95496596578127,634.7908353839566,0.8086744857088559,73.62490291568666,Lasso,Feature Engineering
90,1,18.488917340638487,659.843769296889,0.8064524949242597,68.37648449017564,Lasso,Feature Engineering
90,2,18.480896633817053,660.247985487073,0.8058270360632369,68.32633289633948,Lasso,Feature Engineering
90,4,18.488022032844007,661.6162502430057,0.8054246417675335,68.34245626493187,Lasso,Feature Engineering
90,6,18.470848830278673,659.6100379735905,0.8060146506599518,68.09260652487524,Lasso,Feature Engineering
7,1,17.490300033647376,726.1966937070812,0.7771897062935541,80.40622104166665,Random Forest,Baseline
7,2,17.47760576416928,722.4409988063347,0.776815069609192,79.43217142857142,Random Forest,Baseline
7,4,16.443664737550478,619.8503372887637,0.8095162285519114,72.68169330357142,Random Forest,Baseline
7,6,15.062359802602064,592.9755878869444,0.8190591011016986,75.7035714285714,Random Forest,Baseline
10,1,17.045620377198052,691.4090826960833,0.7839127738902864,78.42712330357143,Random Forest,Baseline
10,2,17.006558042078467,685.3558483388224,0.7883158535396526,78.04868303571428,Random Forest,Baseline
10,4,17.198678818508533,694.7119423106232,0.7837405881959368,77.25522410714282,Random Forest,Baseline
10,6,16.81893095238095,637.6708458941554,0.803196974485017,72.45862857142856,Random Forest,Baseline
15,1,17.091340158114555,686.7065524922155,0.7890742900273902,77.05167181512192,Random Forest,Baseline
15,2,16.97997672809331,667.4407010622693,0.7952029455191683,75.54697857142858,Random Forest,Baseline
15,4,17.27151825003752,696.0532526132267,0.7873978381017295,78.13479910714285,Random Forest,Baseline
15,6,17.071075236380008,672.5002809413282,0.7915279565378817,75.40376517857142,Random Forest,Baseline
30,1,17.453251490300566,701.3319983401527,0.7861345982372367,76.4652014064064,Random Forest,Baseline
30,2,16.63658658598843,632.7533523956225,0.8072443996890553,73.2998261261261,Random Forest,Baseline
30,4,16.947427470534905,655.9218805266689,0.7993180924067175,74.54799346846848,Random Forest,Baseline
30,6,17.19745406766419,665.799457083397,0.7959284108504943,74.4952728928929,Random Forest,Baseline
90,1,18.06546574278255,723.1116432344767,0.7834085149129866,77.17870000964143,Random Forest,Baseline
90,2,17.31842852615123,665.6289286590935,0.80257536817657,73.09180189921676,Random Forest,Baseline
90,4,16.84613823168567,627.2986596550513,0.8089895592862311,71.33704339975823,Random Forest,Baseline
90,6,16.60016891728455,607.9271343004265,0.8162234231644394,70.24196546704432,Random Forest,Baseline
7,1,16.03606841633019,582.4476124448563,0.8207694069181528,70.63771294642858,Random Forest,Feature Engineering
7,2,16.2588370794078,594.6727252916161,0.8170076664963877,71.0188294642857,Random Forest,Feature Engineering
7,4,16.425323620457608,613.2268830500269,0.8122996671160447,72.1025252232143,Random Forest,Feature Engineering
7,6,15.062359802602064,592.9755878869444,0.8190591011016986,75.7035714285714,Random Forest,Feature Engineering
10,1,16.182793665768195,588.9513167731492,0.8181049049865359,69.44247142857142,Random Forest,Feature Engineering
10,2,16.14257102425876,587.0825427706245,0.8192843263611306,69.64809464285713,Random Forest,Feature Engineering
