sliding_window,lag_price_window,n_estimators,max_depth,percentile,data_points,mse,mae,r2,worst_avg_error
30,4,200,,95,2117,425.89865327140876,14.389111265942372,0.8547347576852299,54.687149528301894
30,4,200,,85,1894,198.16830933866422,10.42861135163675,0.9197071102640555,33.29190684210527
30,4,200,,75,1672,104.15729971322521,7.841609419856462,0.9515689800256832,22.81150297619048
30,6,200,,100,2229,864.2695427869983,18.461144369672496,0.7488750102642476,89.87744330357138
30,6,200,,99,2206,669.8295276461595,17.238877674524026,0.7946931696748252,74.9128373873874
30,6,200,,95,2117,437.41375555154355,14.682861195087389,0.8523292208851909,55.223063207547185
30,6,200,,85,1894,208.52339039228087,10.741702323125661,0.912569233541282,33.95448263157895
30,6,200,,75,1672,110.63731270012262,8.11100783492823,0.9467927778685943,23.367122023809536
90,1,200,,100,2169,950.9885937622266,19.45243119664737,0.730951095245993,93.02260576951333
90,1,200,,99,2147,733.0422603881403,18.18692697503917,0.7804340266202499,77.61913196711465
90,1,200,,95,2060,487.72916878134725,15.559640406141355,0.8475747415198183,57.95067869087639
90,1,200,,85,1843,234.02023088879605,11.41531515554079,0.9129867053268345,35.70772119431642
90,1,200,,75,1627,125.42262819501772,8.650035599002004,0.9466050742847998,25.158691946022444
90,2,200,,100,2169,869.2794975220722,18.616581584337744,0.7540678213519109,88.55382767584094
90,2,200,,99,2147,668.9136423465392,17.39229425078182,0.7972085831103365,72.9614459876543
90,2,200,,95,2060,447.6223414785257,14.916018562991212,0.8584327257117157,54.356041601941754
90,2,200,,85,1843,219.19404757702173,10.970019621282585,0.9214112515472926,35.22340518817204
90,2,200,,75,1627,114.73750684204475,8.244791371498811,0.9518582608469651,24.031164245063884
90,4,200,,100,2169,821.8963542606741,18.097734140156753,0.7674732216710116,86.7320642201835
90,4,200,,99,2147,628.7785896978959,16.899844736842102,0.8082427672609349,71.35940648148149
90,4,200,,95,2060,415.1154810560279,14.466111820388349,0.8660917614871126,52.31084902912623
90,4,200,,85,1843,206.3769472700379,10.719249538795442,0.9217324605529674,33.2201629032258
90,4,200,,75,1627,110.75225213803778,8.120543177627535,0.9526793669716374,23.606296951219512
90,6,200,,100,2169,799.1564537149189,17.80067487321346,0.7739066798388392,86.15899449541283
90,6,200,,99,2147,612.1234814116859,16.617405170004655,0.8148638520985678,70.90087083333331
90,6,200,,95,2060,399.1675287163057,14.183656990291261,0.8689058328341095,51.086918932038834
90,6,200,,85,1843,198.4736957554611,10.50441020075963,0.9253433784610189,32.94156182795697
90,6,200,,75,1627,104.41676718097106,7.9221977258758445,0.9584245803229569,22.95976219512195
