sliding_window,lag_price_window,n_estimators,max_depth,percentile,data_points,mse,mae,r2,worst_avg_error
7,1,400,10,100,2252,750.0360325035305,17.22082624333925,0.7799215835403263,85.11670309734518
7,1,400,10,99,2229,584.7886410141023,16.087872633467924,0.8200490263552962,70.73495223214289
7,1,400,10,95,2139,370.1746383512623,13.633994039270684,0.8742154291062598,49.566140654205604
7,1,400,10,85,1914,182.577465226488,10.078881204284217,0.9300165020388914,31.881550781250013
7,1,400,10,75,1689,95.02989775883539,7.583923579040848,0.9571999697502546,21.73079147058824
7,2,400,10,100,2252,763.4987780043933,17.45514372779751,0.7759712937107299,85.17197522123898
7,2,400,10,99,2229,597.9423392384313,16.320160060565268,0.8160015428583979,71.07293147321431
7,2,400,10,95,2139,385.0771454813659,13.877770208041136,0.8680280675390168,51.150907476635524
7,2,400,10,85,1914,187.4174486351418,10.227872505224651,0.9281572078898438,32.348498958333316
7,2,400,10,75,1689,97.63903491730106,7.703898475429238,0.9575154485709474,21.972959117647022
7,4,400,10,100,2252,759.1541749957976,17.489504462699827,0.7772461035983111,84.70509977876111
7,4,400,10,99,2229,613.2268830500269,16.425323620457608,0.8122996671160447,72.1025252232143
7,4,400,10,95,2139,393.3773782250054,13.93861046049556,0.8712862846201807,51.80100560747662
7,4,400,10,85,1914,187.6967958680055,10.191969305120168,0.929997416284588,32.848547916666725
7,4,400,10,75,1689,96.78342059341134,7.648586278863232,0.9596973425386993,21.952852058823538
7,6,400,10,100,2252,796.1315123001776,16.330803730017774,0.7663960730848706,91.45238938053102
7,6,400,10,99,2229,592.9755878869447,15.062359802602073,0.8190591011016984,75.70357142857146
7,6,400,10,95,2139,348.756073913043,12.36224871435251,0.8888370965369764,53.072803738317695
7,6,400,10,85,1914,138.96889273772197,8.480141065830734,0.9511315476120377,29.91270833333328
7,6,400,10,75,1689,65.14455660153972,6.13991119005331,0.9732450060867438,18.689058823529525
10,1,400,10,100,2249,774.0080811284297,17.602846409515344,0.7731691366924035,84.58810774336284
10,1,400,10,99,2226,606.0008507637817,16.464837522461817,0.8139558380532451,70.27135111607144
10,1,400,10,95,2136,397.3576214074865,14.059150468164797,0.8634200848543696,51.589307242990635
10,1,400,10,85,1911,193.52660006720214,10.337456684981689,0.9235053395780083,33.00801302083338
10,1,400,10,75,1687,99.45348145987249,7.74499994072318,0.9548317493367734,22.610327647058803
10,2,400,10,100,2249,764.7817627781434,17.44958166963095,0.7758730022043695,84.66323982300887
10,2,400,10,99,2226,600.1973593258585,16.32308672506739,0.8148518101937474,70.56422901785716
10,2,400,10,95,2136,388.23515256541043,13.893802937734085,0.8661718854718292,50.97482546728969
10,2,400,10,85,1911,188.45298159319532,10.206395944531659,0.9282843840288656,32.29781927083332
10,2,400,10,75,1687,98.40726995851391,7.674353986366333,0.9558821758817144,22.517079999999986
10,4,400,10,100,2249,754.4685657058444,17.239387727879052,0.7788953884719139,85.17844933628321
10,4,400,10,99,2226,584.8184235864198,16.09359194743935,0.8208855291830898,70.5059566964286
10,4,400,10,95,2136,371.6738478688211,13.64523325140449,0.8739875753961053,49.851993457943934
10,4,400,10,85,1911,182.39986576134754,10.069165737833588,0.9291253344228642,31.825717708333315
10,4,400,10,75,1687,94.64932594660031,7.5718334914048535,0.9580880991827773,21.705904117647048
10,6,400,10,100,2249,777.1834296266219,17.68386481769675,0.7722385688356734,85.68818075221245
10,6,400,10,99,2226,611.3466380713434,16.545485040431263,0.812207617384098,71.38185558035715
10,6,400,10,95,2136,394.52305099963314,14.086258216292133,0.8651525531468924,51.21720350467291
10,6,400,10,85,1911,193.65637690224625,10.40265614861329,0.9262533688293091,32.66877994791671
10,6,400,10,75,1687,102.40873552274924,7.866517412566681,0.9553080326119466,22.323157352941237
15,1,400,10,100,2244,758.1017063981341,17.415825880124775,0.778300945908063,83.77197522123896
15,1,400,10,99,2221,594.6954637401776,16.28954025213867,0.8190655472256112,70.21867946428573
15,1,400,10,95,2131,391.1306642848282,13.897175070389485,0.8670401933878817,52.33397990654205
15,1,400,10,85,1907,187.80112726259506,10.193478945988465,0.9232343528893202,31.880489322916688
15,1,400,10,75,1683,100.41674954332181,7.702906699346404,0.9547134808666089,22.366962647058816
15,2,400,10,100,2244,773.3494772065133,17.578261229946524,0.7738418920150316,84.29595840707965
15,2,400,10,99,2221,606.3021225736836,16.447141591625396,0.8144203570301624,70.65306540178571
15,2,400,10,95,2131,400.2490467998556,14.040438714218677,0.8623893767490358,53.09033224299062
15,2,400,10,85,1907,191.38957245130834,10.283491216570532,0.9244995165347868,32.63485234374999
15,2,400,10,75,1683,100.10639067582215,7.732667528223411,0.9543723008113459,22.276441470588242
15,4,400,10,100,2244,777.1522684991127,17.68542748440285,0.7727298047774446,84.25864977876104
15,4,400,10,99,2221,612.7250293433892,16.56652763394867,0.8122149673628364,70.70321406249995
15,4,400,10,95,2131,405.1013242487523,14.155266001877054,0.8601269209720864,52.896624999999965
15,4,400,10,85,1907,194.53359725586554,10.378593799160987,0.924691149559241,32.45995442708333
15,4,400,10,75,1683,103.69554513947223,7.8396985294117645,0.9522324990866783,22.944621764705868
15,6,400,10,100,2244,786.7286492591896,17.664459748217467,0.7699292906271462,85.75624402654867
15,6,400,10,99,2221,608.089245749609,16.492132564160286,0.8124729027942699,70.9989154017857
15,6,400,10,95,2131,396.03790051167687,14.0537738620366,0.8638609376342861,51.40218364485978
15,6,400,10,85,1907,195.39446015280768,10.375599724698478,0.9219776386821036,32.99073776041664
15,6,400,10,75,1683,101.17529395200123,7.777897073677955,0.953200814948396,22.676026176470593
30,1,400,10,100,2229,710.5072041891416,16.912599227500543,0.793552699099163,81.78021399500426
30,1,400,10,99,2206,558.7689331474757,15.832211955544894,0.8300810094894673,68.48869640336768
30,1,400,10,95,2117,361.3547341961969,13.480774544477198,0.8760784761843867,49.13761404169729
30,1,400,10,85,1894,179.2761449403844,9.985694818587634,0.929046282082363,31.289231006892145
30,1,400,10,75,1672,93.80349690761116,7.520966512663184,0.9582267686612768,21.73591580711455
30,2,400,10,100,2229,713.8291689822514,16.88364239781024,0.79258745812598,82.17282237723217
30,2,400,10,99,2206,558.4303556856472,15.79097067020355,0.8306726828665989,68.62471993243244
30,2,400,10,95,2117,360.4331207747464,13.429514784350035,0.8769431680767547,49.32926306107742
30,2,400,10,85,1894,176.89890611135334,9.912689891374166,0.9307136275269717,31.30791919736832
30,2,400,10,75,1672,93.11252631544563,7.4766742307991025,0.9592240752127996,21.696402008928583
30,4,400,10,100,2229,742.5880068337156,17.170634077293155,0.7842311959846898,83.7816517299107
30,4,400,10,99,2206,574.746826226863,16.036963002396387,0.8268163618160119,69.68789974662162
30,4,400,10,95,2117,370.81616992665545,13.64657456992746,0.8694139075177625,50.19394969393229
30,4,400,10,85,1894,180.5902475163674,10.068774438303207,0.9278677822466628,31.49947424003183
30,4,400,10,75,1672,96.0109127733357,7.630764179880336,0.9565948741909903,21.681964404761928
30,6,400,10,100,2229,755.3387021920827,17.318920285041337,0.7805263121695456,83.7845758184524
30,6,400,10,99,2206,585.953497510407,16.184799451657813,0.8232180178610587,69.88297244744746
30,6,400,10,95,2117,382.8641623219273,13.802551168488652,0.8643145252892572,51.2146177672956
